id,created_at,text
524868534330220544,2014-10-22 10:23:04,#60340 http://t.co/m5Zb6z0O0u http://t.co/QxgdjPUbAg
524582420130299904,2014-10-21 15:26:09,#66186 http://t.co/4rECnYJYOR http://t.co/U6zL7FeDQD
524143768073932800,2014-10-20 10:23:07,#24226 http://t.co/TZy1u8J3x0 http://t.co/yszDIcsvOZ
523781373283549185,2014-10-19 10:23:05,#99928 http://t.co/WlcvwEUvdM http://t.co/jK9LfUTkCX
523418983543103488,2014-10-18 10:23:04,#96259 http://t.co/4WSVA1ldHe http://t.co/BzkPl9jmhG
523056636152516608,2014-10-17 10:23:14,#75070 http://t.co/lOZ8r0tWL9 http://t.co/F9V4DemO6x
522694212773752832,2014-10-16 10:23:06,#64608 http://t.co/dWr6G05Vyg http://t.co/2P97Bc0kOQ
521969677367779328,2014-10-14 10:24:03,#91330 http://t.co/MUebGwA5uW http://t.co/P2MUGJKViP
521607044458356736,2014-10-13 10:23:05,#69455 http://t.co/eo2la31xfa http://t.co/tF6trMmFQ4
521244660690591745,2014-10-12 10:23:06,#68960 http://t.co/0ECnedR6OI http://t.co/F90xmIELWs
520882267192045568,2014-10-11 10:23:04,#37198 http://t.co/UavjdoPT1n http://t.co/C4UNRVFqic
520519878911209472,2014-10-10 10:23:04,#53914 http://t.co/pEg9EIjQDL http://t.co/sVOWutC6TN
520157498482098176,2014-10-09 10:23:06,#20743 http://t.co/oKI9eA6x36 http://t.co/UsEjruCBAH
519795159962497024,2014-10-08 10:23:18,#45493 http://t.co/Lu0VPsbESf http://t.co/v6UNUkl2Xa
519432718577594370,2014-10-07 10:23:05,#59395 http://t.co/XpRH6rXJnN http://t.co/pyNfMsJbet
519070328249917440,2014-10-06 10:23:04,#69495 http://t.co/aFCEsSCuUh http://t.co/2yHODi761p
518707948760346624,2014-10-05 10:23:06,#78493 http://t.co/8ouoiDEWA1 http://t.co/dofIu14Jz2
518345552908800000,2014-10-04 10:23:04,#12658 http://t.co/hQduUPwICF http://t.co/IxnGFW914c
517983164657319937,2014-10-03 10:23:04,#92091 http://t.co/1VkfX0UMBa http://t.co/5vCz3klxvV
517620788623835136,2014-10-02 10:23:07,#24543 http://t.co/TnIstkXiPT http://t.co/N44wRIgfMj
517258398988267521,2014-10-01 10:23:07,#43317 http://t.co/tjMm1E0z8V http://t.co/UrPeegIVT5
516896001379274753,2014-09-30 10:23:04,#19392 http://t.co/ffy79Ar58h http://t.co/lmbQSX93hI
516533615157870592,2014-09-29 10:23:05,#85628 http://t.co/9SfnNdg6dO http://t.co/aAaWy5JTvk
516171226373701632,2014-09-28 10:23:05,#75651 http://t.co/hpozCMp80A http://t.co/X4gcKYMTnm
515808838294183937,2014-09-27 10:23:04,#19784 http://t.co/WEO54SEmlA http://t.co/wnqqrgJeGa
515446451795931136,2014-09-26 10:23:05,#93459 http://t.co/5lDc2JoEzH http://t.co/DGCwPFjCBu
515084066765701120,2014-09-25 10:23:05,#72667 http://t.co/sKg3h0hqge http://t.co/42zVuF1TJK
514721679491473408,2014-09-24 10:23:06,#78079 http://t.co/1AV7ooyPSw http://t.co/zIPIBIz0eh
513996899138166784,2014-09-22 10:23:05,#85743 http://t.co/gsX8FCsBm1 http://t.co/mr1x5wJkqP
513634514388922368,2014-09-21 10:23:05,#15444 http://t.co/sjk6nnbBiQ http://t.co/hLp6jSysmV
513272122886856704,2014-09-20 10:23:04,#50940 http://t.co/jcr208lCbR http://t.co/hHJWG5ZFLc
512909732894744576,2014-09-19 10:23:04,#94942 http://t.co/hjgO5GtUHP http://t.co/dUiV0qacTk
512547346719461377,2014-09-18 10:23:04,#60287 http://t.co/EvgNGUTfs7 http://t.co/sq7sZxHL1I
512184963790565376,2014-09-17 10:23:05,#59047 http://t.co/2hm2MKhbp9 http://t.co/8uspMTmiBB
511822572020060160,2014-09-16 10:23:05,#55945 http://t.co/ftEVwS7RbX http://t.co/KodztRLelf
511460182736777216,2014-09-15 10:23:04,#66161 http://t.co/Dap9NRziN6 http://t.co/CvoCIFox0n
511097795328368640,2014-09-14 10:23:04,#36423 http://t.co/5VvIAR0HZ1 http://t.co/4L9LJ53Sjl
510735406170910720,2014-09-13 10:23:04,#28273 http://t.co/6drPfjdhNv http://t.co/cVDn9dkNcO
510373018833801216,2014-09-12 10:23:04,#18571 http://t.co/GwM0s4nvVL http://t.co/0Bv9PLVR1R
509648247494021120,2014-09-10 10:23:05,#12504 http://t.co/3ERrcefhe5 http://t.co/OJ5CkyDkSf
509285858374324224,2014-09-09 10:23:05,#78792 http://t.co/NQc0xo7SxM http://t.co/U7NLrDarf0
508923469867016193,2014-09-08 10:23:05,#94490 http://t.co/AK71JYFAIg http://t.co/2rcczUE6m7
508561079719706624,2014-09-07 10:23:04,#75142 http://t.co/fIzJYKB4zN http://t.co/jt5f57A473
508198694878208000,2014-09-06 10:23:05,#60802 http://t.co/9kCQfn60ex http://t.co/uPVLMIabuC
507836312528125952,2014-09-05 10:23:06,#73280 http://t.co/a4tIzusAxs http://t.co/vQRBdPDa46
507473917829992448,2014-09-04 10:23:05,#54605 http://t.co/6scXiiXXzw http://t.co/GUWsF7j1yQ
507111530618683392,2014-09-03 10:23:05,#20942 http://t.co/SGp9M5lW8f http://t.co/2VXvyq9xTX
506749203327254528,2014-09-02 10:23:19,#66652 http://t.co/wLRSzuOdC8 http://t.co/8ZVe4OYqSh
506386752719032320,2014-09-01 10:23:04,#80436 http://t.co/jEUMZzGKUY http://t.co/pLXdWMj7gU
506024365130285056,2014-08-31 10:23:04,#58108 http://t.co/tjm2V9Stor http://t.co/0PNgIl1nqp
505661977512132608,2014-08-30 10:23:04,#47674 http://t.co/aYs6YJD4sA http://t.co/CqpBYMeEgk
505299590502154240,2014-08-29 10:23:05,#33006 http://t.co/Du3v1NTfgO http://t.co/8zbj88hW3W
504937203974561792,2014-08-28 10:23:05,#22361 http://t.co/nuUce7DoHX http://t.co/DwHH9Zumhf
504574814561271808,2014-08-27 10:23:04,#99444 http://t.co/iitJC4QiUJ http://t.co/o1Xmbjb9yn
504212430231453696,2014-08-26 10:23:05,#63982 http://t.co/Dg2QP4uCpP http://t.co/ME6Re2bQpn
503850039140425728,2014-08-25 10:23:05,#91645 http://t.co/1oLZI25RCl http://t.co/gpjSrhX93U
503487649647439872,2014-08-24 10:23:04,#91074 http://t.co/XSM3XCMcIm http://t.co/3SL8BMD2YB
503125261974765569,2014-08-23 10:23:04,#59386 http://t.co/ahPxFZ41Nw http://t.co/bM4icus46U
502762875656495105,2014-08-22 10:23:05,#74797 http://t.co/ofBerpIbBn http://t.co/2sGsX98Go0
502400487598346240,2014-08-21 10:23:05,#60491 http://t.co/PkWnleCRw1 http://t.co/nnIz3UdgJb
502038112944807937,2014-08-20 10:23:08,#91159 http://t.co/j4LXdlFU2m http://t.co/wA5UvPulld
501675710516563968,2014-08-19 10:23:04,#81001 http://t.co/ikr9MT6jhF http://t.co/8yzsznUjyI
501313325008166912,2014-08-18 10:23:05,#55531 http://t.co/Bje9Tvn5IJ http://t.co/fguuEc2NAS
500950936911884288,2014-08-17 10:23:05,#16545 http://t.co/MofEYDuKL4 http://t.co/Djpijrx0Lb
500588546789769216,2014-08-16 10:23:04,#11830 http://t.co/BE2GbpMMGI http://t.co/AH327seuHA
500226161872752640,2014-08-15 10:23:05,#37783 http://t.co/NVpstn49Us http://t.co/7SrWGZrI2d
499863771675131904,2014-08-14 10:23:04,#76796 http://t.co/ygTdlJfKl0 http://t.co/kEwD6PeqEc
499501383599812608,2014-08-13 10:23:04,#98633 http://t.co/KXHm0u9CvI http://t.co/VHR3Xc091X
499138993817387008,2014-08-12 10:23:04,#39034 http://t.co/mSg8u3FVFW http://t.co/s9P2QIau4l
498776612402642944,2014-08-11 10:23:05,#43557 http://t.co/FQ1w3BIDEi http://t.co/hQPFJHL6fZ
498414228089618433,2014-08-10 10:23:06,#25378 http://t.co/jXbrdpp2cs http://t.co/bkaHJI3Ep9
498051834335199233,2014-08-09 10:23:05,#54146 http://t.co/TgAYPoUO9T http://t.co/nmGmMPqRZl
497689451439857664,2014-08-08 10:23:06,#93716 http://t.co/hnD68EZIrP http://t.co/d8owqOz09W
497327056255197184,2014-08-07 10:23:04,#51714 http://t.co/A6uq2vmu4h http://t.co/Gtd0Ci4T4Y
