id,created_at,text
525693620666376192,2014-10-24 17:01:40,I guess there are some very pretty daffodils by me
525688584464920576,2014-10-24 16:41:40,@NYYFan14 Is it an ASAP sort of you
525684161982791680,2014-10-24 16:24:05,@bookqts I am knowledgeable about butts
525680185522155520,2014-10-24 16:08:17,@dankpoptart Today seems to be on the side.
525669112580931584,2014-10-24 15:24:17,@dankpoptart well I prefer whiskey anyway but beer or wine works better in the bath
525668718810918913,2014-10-24 15:22:43,"@BigNotMike Okay, god dammit, now he is on Dev though"
525668445304926208,2014-10-24 15:21:38,Spotify link for those playing along at home: fever is now 101.3.
525615339955322880,2014-10-24 11:50:37,"But really, I'm drinking coffee."
525608544737828864,2014-10-24 11:23:37,One dude tho
525590679645212672,2014-10-24 10:12:37,Can we move my data to straight flip
525534926905438208,2014-10-24 06:31:05,"@mlotrquotes me, either!"
525525993142759424,2014-10-24 05:55:35,Any puppy farms I could go to abq at the end of the month.
525514919257464832,2014-10-24 05:11:35,Did McCain really just hear someone yell at an estate sale.
525490004743553024,2014-10-24 03:32:34,The amount of alarms that amuse only me: Duane Reade because a man threw a Snickers bar at the cashier and hit traffic
525471969957773312,2014-10-24 02:20:55,"@brandoncrandon what is it, a full slice of pizza and a Large Bottle of Whiskey for me."
525458927077830656,2014-10-24 01:29:05,@wwhitmn I like butts and feeds.
525450107458551808,2014-10-24 00:54:02,@squadron2122 Really stoked I'm starting off the morning with an IT Roadmap
525435527278104576,2014-10-23 23:56:06,@wwhitmn just took 5 laps around the village before I have class
525432781300826112,2014-10-23 23:45:11,@ao_WaltWhitman pierogi success!
525424822902595584,2014-10-23 23:13:34,got to see a lot of food.
525419386837143552,2014-10-23 22:51:58,@FallonsWords I want butts and feeds.
525404436777402370,2014-10-23 21:52:33,Every time I love to sail
525389588769275904,2014-10-23 20:53:33,I WANT TO FEEL THIS TALLL
525387733427290113,2014-10-23 20:46:11,@beardenthusiast y u r different its kewl
525383546702397441,2014-10-23 20:29:33,"pilot light, oh right, I forgot about that."
525357557695938560,2014-10-23 18:46:17,@loren_travis sent from potato
525354855477817344,2014-10-23 18:35:32,"hahah, too #pkool"
525329940867473408,2014-10-23 16:56:32,why is the best post ever created
525310147846234112,2014-10-23 15:37:53,@beardenthusiast very true!
525308046193750016,2014-10-23 15:29:32,What I've learned about computers: it's either DNS or permissions.
525289331963854849,2014-10-23 14:15:10,@ao_WaltWhitman They have to write 6 pack and a handle of whiskey?
525289170554458112,2014-10-23 14:14:32,when one of these store fronts are salted
525283637793546240,2014-10-23 13:52:33,@botbotdlux i miss potato
525278594734362626,2014-10-23 13:32:30,Even though I really watching a commercial for Sun Drop outside of Lucky's.
525180936363577345,2014-10-23 07:04:27,Some day some one will see because it means I get to use clip art
525151008624611329,2014-10-23 05:05:31,@JustnTimbrlk I'll check it out then
