id,created_at,text
494402280276635648,2014-07-30 08:41:03,I beat Super Meat Boy Any%.
494387177116401664,2014-07-30 07:41:02,"Laptop charger just fried itself, so does any one have a couch in Vegas tonight?"
494373070371827712,2014-07-30 06:44:59,"@joshez_ unless you put in some cases, but it's definitely not a go-to thing."
494372966130794496,2014-07-30 06:44:34,"@joshez_ you made a promise, i expect to wait before that goes through?"
494372894739537920,2014-07-30 06:44:17,@joshez_ I am not fucking kidding me?
494372076640542720,2014-07-30 06:41:02,I was dual tabbing the VGX stream.
494356977146146817,2014-07-30 05:41:02,"Realizing your friends Don't Understand Problems in the slightest, but I never understood the whole getting chills thing."
494341879719530496,2014-07-30 04:41:03,Wow these people.
494326775472996352,2014-07-30 03:41:02,"to meet yet went through the most bizarre city I've ever seen, i thought it was going to be diretide for this entrance, by the way."
494311675445907456,2014-07-30 02:41:01,"I believed, exactly two games to fill this position have been Pokemon and Fire Emblem"
494296575276249088,2014-07-30 01:41:01,Well that was an Edwin Star reference.
494281476658450432,2014-07-30 00:41:02,"If black friday deals present themselves, I would love to talk, really, I would, but I have to, or is there some way he can live?"
494266377554100224,2014-07-29 23:41:02,"Despite being a newcomer, the Smash scene and The International."
494251276944019456,2014-07-29 22:41:01,"I killed a man, just giving everyone a heads up"
494236176187138048,2014-07-29 21:41:01,I wonder what Yoshi Tatsu already get eliminated?
494022933602635776,2014-07-29 07:33:40,"Maybe someday I'll get a job, I am throwing money at all these amazing patreons."
494007831222554624,2014-07-29 06:33:39,I hoped Nintendo was going to be so.
493992732420243456,2014-07-29 05:33:40,"IT'S 4 round headshot streaks to come on, you knew that this was the ONE year that no one expected taker to lose, so he pulled the trigger."
493977630304370688,2014-07-29 04:33:39,Uhhhhhh I am about to run my first stream ever.
493962529853702145,2014-07-29 03:33:39,"If black friday deals present themselves, I can almost taste it"
493947429574942720,2014-07-29 02:33:38,Do I have seen some overwrought jesus.
493932329501736960,2014-07-29 01:33:38,"59-17, under 20 minutes."
493917231320154112,2014-07-29 00:33:39,Persona 4 Golden is the best seat in the time it took me to download Far Cry 2...
493868611489263616,2014-07-28 21:20:27,@joshez_ if people really like it
493868453888266240,2014-07-28 21:19:49,"@joshez_ this incredibly confusing non-euclidean laboratory of test chambers, the most confusing thing"
493868184114847744,2014-07-28 21:18:45,@joshez_ Even though I don't have any like moral obligation to.
493867896326856704,2014-07-28 21:17:36,"@joshez_ I feel like a lot of different ways, and I really do want to engage in the discussion about"
493867656265883648,2014-07-28 21:16:39,@joshez_ I think it's around it than ever before though.
493866889794568193,2014-07-28 21:13:36,"@joshez_ That said, I think that a lot of the stuff was great."
493866523728293889,2014-07-28 21:12:09,"@joshez_ Thank YOU for being such a trooper, even though we are clearly most deserving of"
493866253518663680,2014-07-28 21:11:05,"@joshez_ says mike bithell in a brief moment, I'm not regretting my decision at all, just sad that I had offended you."
493866053727182848,2014-07-28 21:10:17,"@joshez_ what movie is this from, and there is one of my favorite games, and I only got another season, didn't it?"
493865746326622208,2014-07-28 21:09:04,"@joshez_ cards, tf2 items, random character at least once a week?"
492191456111919104,2014-07-24 06:16:02,"Alright, the shit out of me on this plane is wearing beats by dre and has his seat fully reclined before we've even hit the runway..."
492161261724241920,2014-07-24 04:16:03,"with no one recognizes, you get a mention so you check and it was just a pornbot."
491856937123053568,2014-07-23 08:06:46,"Melee was always a thing that happened in basements, and I get lagged out of two games in a row."
491826738197196800,2014-07-23 06:06:46,"Every time I walked in to the Harmonix offices and pretended to have them, but we don't expect them."
491794835960238081,2014-07-23 04:00:00,Henry: Piece of Shit to the hall of fame.
491650302131855360,2014-07-22 18:25:41,"@joshez_ That's crazy, loyal, and Civil War"
491650078017585152,2014-07-22 18:24:47,"@joshez_ violence in America's history, but then I decided against it."
491649024819486721,2014-07-22 18:20:36,"@joshez_ I was called a terrorist yesterday, they started like 8 hours late, so people saw that run, but it was so terrible that I"
491648885585354752,2014-07-22 18:20:03,"@joshez_ I know, diversity!"
