id,created_at,text
525472845925974016,2014-10-24 02:24:23,@GorillaCities @RightGorilla http://t.co/MPcO6rhwvv
525436759946309632,2014-10-24 00:01:00,@GorillaCities @RightGorilla http://t.co/18sYwLaoxS
525418503504146434,2014-10-23 22:48:27,@RightGorilla @GorillaCities http://t.co/Lo4vaMb4WU
525400462653407235,2014-10-23 21:36:46,@RightGorilla @GorillaCities http://t.co/0xzmgWsFPx
525364219546714112,2014-10-23 19:12:45,@RightGorilla @GorillaCities http://t.co/QbrjxHsk3t
525327972379930624,2014-10-23 16:48:43,@RightGorilla @GorillaCities http://t.co/d93HJiZkLg
525291631692746753,2014-10-23 14:24:19,@RightGorilla @GorillaCities http://t.co/9wSDy2sjcm
525255597919596545,2014-10-23 12:01:07,@GorillaCities @RightGorilla http://t.co/9NXM5RXIgx
525219265788801024,2014-10-23 09:36:45,@RightGorilla @GorillaCities http://t.co/K4sSslNrwM
525201246006018048,2014-10-23 08:25:09,@RightGorilla @GorillaCities http://t.co/iyPzNazLyK
525146813956100097,2014-10-23 04:48:51,@GorillaCities @RightGorilla http://t.co/Iz3EXVbWHZ
525128771402481664,2014-10-23 03:37:10,@RightGorilla @GorillaCities http://t.co/h49BUdexJA
525074355773267968,2014-10-23 00:00:56,@GorillaCities @RightGorilla http://t.co/QWPxdmBm3t
525056197565874176,2014-10-22 22:48:47,@GorillaCities @RightGorilla http://t.co/HSZCtyoYbn
525020026404085761,2014-10-22 20:25:03,@RightGorilla @GorillaCities http://t.co/CyeE45M9uU
524983562823823360,2014-10-22 18:00:09,@RightGorilla @GorillaCities http://t.co/ITIX6p3pQt
524947480086323200,2014-10-22 15:36:46,@RightGorilla @GorillaCities http://t.co/kGKmQINkdw
524911217241239552,2014-10-22 13:12:41,@RightGorilla @GorillaCities http://t.co/Ite1CPamBa
524874980270829568,2014-10-22 10:48:41,@GorillaCities @RightGorilla http://t.co/5AFnyGAOCo
524856879630282752,2014-10-22 09:36:46,@GorillaCities @RightGorilla http://t.co/xOtKGdJ8Vu
524820557989429249,2014-10-22 07:12:26,@RightGorilla @GorillaCities http://t.co/NZtdvuS9IE
524766364104663041,2014-10-22 03:37:05,@GorillaCities @RightGorilla http://t.co/NOj65JYmKp
524712015454298112,2014-10-22 00:01:07,@GorillaCities @RightGorilla http://t.co/hMK7hKQjxm
524675605665943552,2014-10-21 21:36:27,@RightGorilla @GorillaCities http://t.co/KDVw1GIDLf
524639442821459968,2014-10-21 19:12:45,@RightGorilla @GorillaCities http://t.co/XioqULeBWl
524603186565632003,2014-10-21 16:48:40,@RightGorilla @GorillaCities http://t.co/o1nwl63iYe
524566853709201408,2014-10-21 14:24:18,@RightGorilla @GorillaCities http://t.co/u1MZTu6JgQ
524530837883461633,2014-10-21 12:01:11,@RightGorilla @GorillaCities http://t.co/1NeCVzsqd2
524494557543944192,2014-10-21 09:37:01,@GorillaCities @RightGorilla http://t.co/NbQ99uGigk
524458188234821632,2014-10-21 07:12:30,@RightGorilla @GorillaCities http://t.co/BUUzaPQUV4
524403978386546688,2014-10-21 03:37:06,@RightGorilla @GorillaCities http://t.co/CQrfmlZD4g
524349548010172417,2014-10-21 00:00:48,@RightGorilla @GorillaCities http://t.co/AUCqArZosp
524331475144294400,2014-10-20 22:48:59,@RightGorilla @GorillaCities http://t.co/qRcsj7Obti
524295206456160257,2014-10-20 20:24:52,@GorillaCities @RightGorilla http://t.co/uJcbHI7VZ4
524258785620414466,2014-10-20 18:00:09,@GorillaCities @RightGorilla http://t.co/Rx4MIOtRft
524222764350443521,2014-10-20 15:37:01,@GorillaCities @RightGorilla http://t.co/B2HK4O7wpW
524186424040767488,2014-10-20 13:12:37,@GorillaCities @RightGorilla http://t.co/kz812UDFvO
524150198147506178,2014-10-20 10:48:40,@RightGorilla @GorillaCities http://t.co/CZdHiqP0CU
524113921389912064,2014-10-20 08:24:31,@GorillaCities @RightGorilla http://t.co/KLkD0R7Ctl
524095773487943680,2014-10-20 07:12:24,@RightGorilla @GorillaCities http://t.co/6k9pwtcrPU
524041546929565697,2014-10-20 03:36:55,@RightGorilla @GorillaCities http://t.co/grXwOLnOxY
523987157636370432,2014-10-20 00:00:48,@GorillaCities @RightGorilla http://t.co/5dcy2hcFOe
523969028675870721,2014-10-19 22:48:45,@RightGorilla @GorillaCities http://t.co/F0BlAs2aIz
523932861418979329,2014-10-19 20:25:03,@GorillaCities @RightGorilla http://t.co/gmIpbvRbYL
523896393417895936,2014-10-19 18:00:08,@RightGorilla @GorillaCities http://t.co/QHL55GottC
523860315105394688,2014-10-19 15:36:46,@GorillaCities @RightGorilla http://t.co/R3sJbZhca7
523842073385238528,2014-10-19 14:24:17,@GorillaCities @RightGorilla http://t.co/f3jrGdsmHR
523823985805787136,2014-10-19 13:12:25,@GorillaCities @RightGorilla http://t.co/mT7KXJWniM
523787816174886912,2014-10-19 10:48:41,@RightGorilla @GorillaCities http://t.co/mP4GAFQoOx
