id,created_at,text
526065269584977920,2014-10-25 17:38:28,"""cough enhancement"""
526061869598261248,2014-10-25 17:24:58,"Mother, rising of the Lights"
526061788681760768,2014-10-25 17:24:38,"apoplex and suddenly, blasted, wolf, cut of the stone, dropsie and tympany, fainted in a bath, flox and small pox, jaw-fain, King's Evil,"
525491071976218624,2014-10-24 03:36:49,"Loder, Kurt (November 10, 2004). ""'The Polar Express' Is All Too Human"". MTV."
525478937615671296,2014-10-24 02:48:36,1836   Dickens Sketches by Boz 2nd Ser. 244   An unrivalled compounder of salad-dressing.
525025470656831490,2014-10-22 20:46:41,flipping the tape in the walkman of the mind
524744719453421568,2014-10-22 02:11:05,I don't mean to sound wishy washy but I'm stuck in a djinni's laundromat.
524738530095136768,2014-10-22 01:46:29,I'll probably get killed by some hobbyist's drone.
524689435531943936,2014-10-21 22:31:24,"Copyright Tutorial Quiz

Score: 10/10. You PASSED!

This incident is now closed."
524681807997198336,2014-10-21 22:01:05,39 butt. 100% all
524543105996173312,2014-10-21 12:49:56,"Instead, loafers, Mary Janes, Creepers, victorian boots, or even"
524399875245748224,2014-10-21 03:20:47,who give each other friendly toots because
524323376857616384,2014-10-20 22:16:49,"an enormous, puppy-size spider."
524260777805758464,2014-10-20 18:08:04,"RT @narrative: Creeley blurb for Notley, 1976,

""She's the boss..."""
524258531097456640,2014-10-20 17:59:08,RT @MarkCugini: Dear Young People That Love Poetry: I love you so much.
524257472937484288,2014-10-20 17:54:56,@BoringDrew this is mindblowing
524255502063370240,2014-10-20 17:47:06,9:45 etrade” mogn”
523859289627455489,2014-10-19 15:32:42,"I am spam, spam I am."
523706546203938816,2014-10-19 05:25:45,I am clipart.
523634263644991488,2014-10-19 00:38:31,feels like a night where anything can happen and its so comforting to know nothing well
523566191315787776,2014-10-18 20:08:02,"man hides saxophone in tree branch, carries tree branch to jazz band"
523549908151058432,2014-10-18 19:03:19,queen of the vegetable kingdom
523322562793984000,2014-10-18 03:59:56,thriller mode
523316288492666880,2014-10-18 03:35:00,life's just a punji pit
523313345550876673,2014-10-18 03:23:18,@banhmiverlag what a ghoul wants
522906204411277312,2014-10-17 00:25:28,I look like me.
522891707193765888,2014-10-16 23:27:52,enlightenment is that first q-tip after months
522891225213714432,2014-10-16 23:25:57,he's just not that into looking at me
522735416592826368,2014-10-16 13:06:49,what's will I think today?
522525362543022080,2014-10-15 23:12:09,infinite hospitality in array
522507205329702913,2014-10-15 22:00:00,my nurse has a hickey
522506762969051136,2014-10-15 21:58:14,it's like the esperanto of pizza
522505797796786178,2014-10-15 21:54:24,love like a door
522476913638768640,2014-10-15 19:59:38,@MatthewDinaro help me help you Rhonda
522177662773895168,2014-10-15 00:10:31,change my name to something like Too $hort maybe like Too ƒull
522136188371886083,2014-10-14 21:25:42,"Rise from the dead, ye little head, Thom Thom Thom"
521873335622594563,2014-10-14 04:01:13,"""get familiar with your ignorance"" - pynchon"
521707989615783936,2014-10-13 17:04:12,blasphemy from the past
521470063803924480,2014-10-13 01:18:46,when did mood begin?
521460860079058944,2014-10-13 00:42:11,RT @wutheringhugs: the whole foods in this neighborhood literally overshadows the public library
521449065364873216,2014-10-12 23:55:19,@wutheringhugs same as crap
521137086326657024,2014-10-12 03:15:38,circadian rhythm section
521071302246166528,2014-10-11 22:54:14,@LauraAWarman is Moby o.k.?
521032828776382466,2014-10-11 20:21:21,life is a slow game show
520689659694051328,2014-10-10 21:37:43,where is the world?
520678822619123712,2014-10-10 20:54:39,"read, umm, and weep"
520341588112064513,2014-10-09 22:34:36,Explosion of complex expressions.
519941296220569600,2014-10-08 20:03:59,tanktop couple has beautiful hair
519649284585574400,2014-10-08 00:43:38,raft quirk
519602192655720448,2014-10-07 21:36:31,ignorance is piss
519523706125967360,2014-10-07 16:24:38,what ever happened to the Hives?
519137261984968704,2014-10-06 14:49:03,RT @robo_junkie: A rap battle between French Stewart and Gilbert Godfried.
519130807450234881,2014-10-06 14:23:24,playing way too dumb
519119287160934400,2014-10-06 13:37:37,I work for metaphysical plant
518906716990472192,2014-10-05 23:32:56,eternal sunchips and spotty wifi
518591812920147968,2014-10-05 02:41:37,"""X Games type scientist"""
518240807946842112,2014-10-04 03:26:51,"""what, mi casa su cumrag?"""
518081941934186496,2014-10-03 16:55:35,"flat window, false ceiling of black metal"
517885262563901440,2014-10-03 03:54:03,stem cell fajita?
517798837118074882,2014-10-02 22:10:37,Obama's Address on the State of Alt Lit
517798753668186112,2014-10-02 22:10:17,knucklehead bream
517322986039164929,2014-10-01 14:39:45,pubic chablis
517062158979727361,2014-09-30 21:23:19,Emma by the lake - m4w (lake monroe)
516979935769296896,2014-09-30 15:56:36,cruel and unusual nourishment
516755573468323840,2014-09-30 01:05:04,tubthumpers in babylon
516753192571662336,2014-09-30 00:55:36,super market basket case sensitive
516752766837227520,2014-09-30 00:53:55,@__liwanag https://t.co/Sl45vD6rf2
516464533704310784,2014-09-29 05:48:34,feeling more tabula than rasa
516454781775519745,2014-09-29 05:09:49,RT @333333333433333: bsbqnajaiajahqfagBanKziauwhahahahahNkxocsuquagcQcamlaiayayajamwlso yacwnemxlusha
516279296630194176,2014-09-28 17:32:30,from autumn to oblivion
516250009902542848,2014-09-28 15:36:08,witchy librarians party down
516012613734776832,2014-09-27 23:52:48,"RT @neutralfixation: This is Caleb I have a new tape out on @leonardegg s label called ""psychedelic pinko pleasure noise"" hmu if you want o…"
515897231371931649,2014-09-27 16:14:19,chalice on a plinth
515595369821265920,2014-09-26 20:14:50,shout out to depression
515267500171595776,2014-09-25 22:31:59,designated dancing area in the theatre for stop making sense
515162924747599872,2014-09-25 15:36:27,less than pepsi / a jicama thingamajig
514961870118486016,2014-09-25 02:17:32,introvert wants pulitzer
514937363793850368,2014-09-25 00:40:09,@mikehesselmial exegesis in comic sans
514909951664603136,2014-09-24 22:51:13,jargonaut
514817512811540480,2014-09-24 16:43:54,eavesdropping on gamer talk
514817229205286912,2014-09-24 16:42:46,the noob asks questions down the hallway
514814642481532928,2014-09-24 16:32:30,a flyover century
514812435845615616,2014-09-24 16:23:44,so far the fax is galactic and umm
514455402856341504,2014-09-23 16:45:00,"today's task: use ""godsmack"" in a sentence"
