id,created_at,text
525594303155146752,2014-10-24 10:27:01,NI
525549004705509378,2014-10-24 07:27:01,SHOWY HYPERGLYCAEMIA
525503709636493312,2014-10-24 04:27:02,SLY NAUSEA
525458411186814976,2014-10-24 01:27:02,MAEANDRA
525413111185281024,2014-10-23 22:27:02,COD FACE
525367813608079360,2014-10-23 19:27:02,NIB SIDEBURN
525322515582054401,2014-10-23 16:27:02,SYMBOL FOR AGAMID FLAME
525277217484730368,2014-10-23 13:27:02,SNUB-NOSED ECTOMORPHY
525231918414299136,2014-10-23 10:27:02,NORTHEAST-POINTING FIVE RAISINGS
525186620346347521,2014-10-23 07:27:02,BROKEN ECOTERRORISM
525141322177716225,2014-10-23 04:27:02,TWO OUT-OF-SCHOOL MUSCIVORAS
525096023094734848,2014-10-23 01:27:02,METRALGIA FACE
525050723625873410,2014-10-22 22:27:02,REDDISH-STRIPED SYMBOL FOR LASCAUX
525005424312205313,2014-10-22 19:27:01,STRICTLY ASTIGMATIC PARALLEL
524960126827237378,2014-10-22 16:27:02,STIMULATING UMMAH SIGN
524914827698114561,2014-10-22 13:27:02,UNTAINTED FACE
524869529617584128,2014-10-22 10:27:02,OVEREMOTIONAL SIGN FOR LEWDLY AUXETIC UNDERCURRENT
524824228819116032,2014-10-22 07:27:01,HORIZONTAL AGRIPPINA
524778933771051008,2014-10-22 04:27:02,FIRST PROMISE
524733631986937858,2014-10-22 01:27:01,NATURAL ANDROPOGON
524688335944814592,2014-10-21 22:27:02,CONSCIOUS SYMBOL FOR NOSECOUNT
524643036136243201,2014-10-21 19:27:01,DEVIANT TOWNSENDIA SIGN
524597738210885632,2014-10-21 16:27:02,AIMLESSLY GOOD GORGER
524552438985277441,2014-10-21 13:27:01,SYMBOL FOR MIDGE
524507140682436608,2014-10-21 10:27:01,CONGRESSIONAL SIGN FOR AMPLIFICATION APHORIST
524461843893727232,2014-10-21 07:27:02,MINDLESSLY SACRED STILT
524416543233671168,2014-10-21 04:27:01,BROKEN DISCREETLY KINDLY DECRIMINALIZATION
524371244284907520,2014-10-21 01:27:01,STRIP-MINED SIGN FOR FIVE QUADRILLES
524325945248075777,2014-10-20 22:27:01,POST-FREE FACE
524280652016140289,2014-10-20 19:27:02,PESTILENT SIGN
524235349925855232,2014-10-20 16:27:01,RABID FACE
524190052453478401,2014-10-20 13:27:02,GEOTHERMIC FACE WITH MUSICAL TOOTH
524144751432716289,2014-10-20 10:27:01,CHEMICAL WEEPER
524099455021494272,2014-10-20 07:27:02,BRUNETTE TOGGLE
524054154302750720,2014-10-20 04:27:01,LUBRICATED SIGN FOR SHOUTING KEKCHI
524008859472769024,2014-10-20 01:27:02,FORINT SIGN
523963558900797440,2014-10-19 22:27:01,TWO GIRDLES
523918260266622977,2014-10-19 19:27:01,HIGH-STEPPED MUTUALISM SYMBOL
523872962051833856,2014-10-19 16:27:01,FLOWERED HANGZHOU
523827664558501888,2014-10-19 13:27:02,SYMBOL FOR CLOUD RAZZING
523782363944583168,2014-10-19 10:27:01,HASH BUTCHER
523737067571130368,2014-10-19 07:27:02,SYMBOL FOR FAVORABLE LEAP
523691769113104384,2014-10-19 04:27:02,OVERHEAD ULTRAMONTANE PLANETOID
523646470755737600,2014-10-19 01:27:02,PROMISSORY SIGN FOR EQUIVALENT ESCRITOIRE
523601170011807744,2014-10-18 22:27:01,TWO FLAWED NUMIDIANS
523555874674319361,2014-10-18 19:27:02,UP-POINTING CIVIL QUALIFIER
523510572814721024,2014-10-18 16:27:01,APPELLANT
523465275099078656,2014-10-18 13:27:01,DISSOLUTE CHAMAEA
523419976162881536,2014-10-18 10:27:01,SUPERSONIC SIGN
523374679638437888,2014-10-18 07:27:02,MARKETING FACE
523329380219899905,2014-10-18 04:27:01,BREEZILY 88 SINKER
523284081195634688,2014-10-18 01:27:01,COARSELY DRY-SHOD BIOCATALYST
523238785166102528,2014-10-17 22:27:02,MALAGA SNOOPER
523193486829707265,2014-10-17 19:27:02,POSTMILLENNIAL SYMBOL FOR RATHER SOLID-COLORED ANGIOTONIN
523148188094853120,2014-10-17 16:27:02,STABLE SIGN
523102888466587649,2014-10-17 13:27:02,ASCENDING HALFBACK
523057591031959553,2014-10-17 10:27:02,PLEXOR
523012290439053312,2014-10-17 07:27:01,THIN ASCENDING NOTCHED THREE SYNCHRONIZINGS
522966995009273856,2014-10-17 04:27:02,TWO PROFOUND TIMELINES
522921692562485248,2014-10-17 01:27:01,DESCENDING LOVEBIRD KALAPOOIAN
522876394754555904,2014-10-16 22:27:01,SYMBOL FOR GRAY
522831097852604416,2014-10-16 19:27:02,COLOURED FACE WITH FIVE FESTSCHRIFTS
