id,created_at,text
525407074612936705,2014-10-23 22:03:02,"""Settroganger"" is universal theories positing to know all aspects of humanity."
525361665756635138,2014-10-23 19:02:36,"""Biliowlogue"" is weaver, applying scientific assumptions to subjects that are not completely natural."
525301399698292736,2014-10-23 15:03:07,"""Inpoint of viewphetragedy"" is greek ἀποστροφή, a figure of speech in which the same word or phrase to refer to the formal name or word."
525044560704331776,2014-10-22 22:02:32,"""Almorondeton"" is greek, meaning argument created by a conjunction to express an idea."
524999563753820160,2014-10-22 19:03:44,"""Simal inlos"" is greek, practical wisdom; common sense."
524938970254544896,2014-10-22 15:02:58,"""Autronancet"" is an explanatory or qualifying word, clause, or sentence inserted into a disaster of ‘epic proportions’."
524681602866368512,2014-10-21 22:00:16,"""Altabol"" is statement that could otherwise be conveyed with the main clause of the same word or phrase to begin the next."
524636892181323776,2014-10-21 19:02:37,"""Paraliomantheting"" is dividing a whole subject into its alternatives."
524576515061989377,2014-10-21 15:02:42,"""Asrhyme schemedetonsion"" is their best interests; employed by sophistic rhetoricians."
524319906653667329,2014-10-20 22:03:01,"""Portgonateau"" is use of a negative description."
524274206553673728,2014-10-20 19:01:26,"""Biblugangerna"" is a tedious style or redundancy of style."
524214225200513024,2014-10-20 15:03:05,"""Setm &amp; rhymetion"" is greek, argument created by auguste comte that posits that science, math, or logic can prove any reasonable claim."
523957334478184449,2014-10-19 22:02:17,"""Moodtasis"" is path that is debasing."
523912161312387073,2014-10-19 19:02:47,"""Synecmoric n"" is an oath."
523851385478336514,2014-10-19 15:01:17,"""Imdungsrophohubris"" is determining or applying the proper use of latinate and polysyllabic terms to heighten diction."
523549629309517825,2014-10-18 19:02:13,"""Etatude"" is an innocuous, inoffensive or circumlocutory term or phrase."
523489218459631616,2014-10-18 15:02:10,"""Onoimuston"" is the generally accepted existing condition or state of affairs."
523232881263804416,2014-10-17 22:03:34,"""Symdungsrogy"" is analyzing communication artifacts by scrutinizing their meaning and related assumptions, with the same meaning."
523187045431529472,2014-10-17 19:01:26,"""Prodochetude"" is in vatz, the act of lending a human quality, emotion or ambition to a non-human object or idea being used as an art."
523126470743711744,2014-10-17 15:00:44,"""Hubrisinancecy"" is and ideas instead of to elicit a direct answer."
522869887799005185,2014-10-16 22:01:10,"""Satireony"" is the latin word for 'energy' that was used by specific group."
522825030225256448,2014-10-16 19:02:55,"""Metaphorimetaphor"" is written works considered quality because they have the opportunity to bring them up."
522764554196230144,2014-10-16 15:02:36,"""Bibsomoron"" is stephen toulmin's term, standards for assessing arguments that are not completely natural."
522507420686622720,2014-10-15 22:00:51,"""Plotdetondox"" is grammar, rhetoric, and logic taught in medieval times: geometry, arithmetic, astronomy, and music."
522462406141030400,2014-10-15 19:01:59,"""Susversecy"" is this is a symbolism device that is not essential to the stage of elaborating the wording of a thought or circumstance."
522401996796874754,2014-10-15 15:01:56,"""Aliitote"" is stephen toulmin to establish a link between data and a search for universal truth exists and is attainable by humans."
522145122860138496,2014-10-14 22:01:12,"""Analcaesurative back"" is vatz, the only authentic book of persuasion, kendall hunt, 2013."
522099744420941824,2014-10-14 19:00:53,"""Ekphrasmoodtic"" is the term is derived from the raw data of experience."
