id,created_at,text
526568975300591616,2014-10-27 03:00:01,pro-Egyptian Dad
526561427147223041,2014-10-27 02:30:01,ameliorate Dad
526553900258959360,2014-10-27 02:00:07,parrot Dad
526546329275994112,2014-10-27 01:30:02,permanent Dad
526538777188368385,2014-10-27 01:00:01,marcelled Dad
526531229370576896,2014-10-27 00:30:02,cautious Dad
526523677148712960,2014-10-27 00:00:01,compete Dad
526516128894685184,2014-10-26 23:30:01,socialized Dad
526508580300914688,2014-10-26 23:00:02,subspecializing Dad
526501028011974657,2014-10-26 22:30:01,tabulate Dad
526493479875407872,2014-10-26 22:00:02,funnelled Dad
526485931705266176,2014-10-26 21:30:02,backpack Dad
526478379315630081,2014-10-26 21:00:01,obsess Dad
526470831443304449,2014-10-26 20:30:02,theorise Dad
526463279435382784,2014-10-26 20:00:01,reassociated Dad
526455731395239937,2014-10-26 19:30:02,wrapround Dad
526448183069904896,2014-10-26 19:00:02,Pliocene Dad
526440630697099264,2014-10-26 18:30:01,stay-at-home Dad
526433082552115201,2014-10-26 18:00:02,proficient Dad
526425530204422145,2014-10-26 17:30:01,align Dad
526417982374051840,2014-10-26 17:00:02,reddle Dad
526410430332559361,2014-10-26 16:30:01,rutted Dad
526402882581823488,2014-10-26 16:00:01,desiccant Dad
526395334592045056,2014-10-26 15:30:02,reused Dad
526387782407954432,2014-10-26 15:00:01,reengaging Dad
526380234560790528,2014-10-26 14:30:02,barbarise Dad
526372682397675520,2014-10-26 14:00:01,communicating Dad
526365134575640576,2014-10-26 13:30:02,suturing Dad
526357582584496129,2014-10-26 13:00:01,forswore Dad
526350034670211073,2014-10-26 12:30:02,creating Dad
526342482590986241,2014-10-26 12:00:01,edify Dad
526334934831865856,2014-10-26 11:30:01,light Dad
526327386791759875,2014-10-26 11:00:02,defend Dad
526319834477654016,2014-10-26 10:30:01,garnisheeing Dad
526312286676602880,2014-10-26 10:00:02,tost Dad
526304734270201856,2014-10-26 09:30:01,lightninged Dad
526297186297196544,2014-10-26 09:00:02,loved Dad
526289637338546176,2014-10-26 08:30:02,overfag Dad
526282085087342592,2014-10-26 08:00:01,anticeremonial Dad
526274537122701312,2014-10-26 07:30:02,surging Dad
526266989044854786,2014-10-26 07:00:02,parent Dad
526259436768468992,2014-10-26 06:30:01,deceive Dad
526251888594137088,2014-10-26 06:00:02,chuckled Dad
526244336280039424,2014-10-26 05:30:01,guying Dad
526236788067930112,2014-10-26 05:00:01,emaciate Dad
526229239847464960,2014-10-26 04:30:02,garland Dad
526221689894756352,2014-10-26 04:00:02,berried Dad
526214137555476483,2014-10-26 03:30:01,struggling Dad
526206589829931009,2014-10-26 03:00:02,abye Dad
526199037566136320,2014-10-26 02:30:01,reorientate Dad
526191489685401601,2014-10-26 02:00:01,jerry-build Dad
526183941712404481,2014-10-26 01:30:02,bidden Dad
526176389515730944,2014-10-26 01:00:01,overdone Dad
526168841681117184,2014-10-26 00:30:02,melt Dad
526161289585123330,2014-10-26 00:00:01,cup Dad
526153741624696832,2014-10-25 23:30:02,mute Dad
526146189373485056,2014-10-25 23:00:01,brood Dad
526138641425661953,2014-10-25 22:30:02,sibilated Dad
526131093616201728,2014-10-25 22:00:02,invent Dad
526123541251784705,2014-10-25 21:30:01,Latvian Dad
526115993333297152,2014-10-25 21:00:02,onlaying Dad
