id,created_at,text
525484808659410944,2014-10-24 03:11:56,"i rolled out of a solar eclipse, and walked over to the moon"
525459965348048897,2014-10-24 01:33:12,"yes the moon, i'm sorry comets.."
525429662877749249,2014-10-23 23:32:48,the moon wrote to a light year later
525409149774213120,2014-10-23 22:11:17,the moon sucked a meteor shower like a nadir as an atmosphere continued to fuck
525396264805228544,2014-10-23 21:20:05,after eclipses the moon start again
525382017572421632,2014-10-23 20:23:28,i had never hit the moon in a comet
525372710067896320,2014-10-23 19:46:29,i was too nervous to look up at the moon
525364723542671361,2014-10-23 19:14:45,"i did so quickly, and the moon slowly closed the constellation"
525334934039576576,2014-10-23 17:16:23,the moon chided
525305224873787392,2014-10-23 15:18:19,a flare star in the moon
525295621222043648,2014-10-23 14:40:10,i want the moon hurting
525271103510290433,2014-10-23 13:02:44,"moon, a nova said coyly"
525261057346904064,2014-10-23 12:22:49,i can't do the moon
525242614325334020,2014-10-23 11:09:32,i took the moon
525234057697701888,2014-10-23 10:35:32,i'm going to miss the moon
525221718663507969,2014-10-23 09:46:30,the moon said sternly
525212300693618688,2014-10-23 09:09:05,the moon is right
525201871623815169,2014-10-23 08:27:38,"i want those slutty little fuck the moon wide open, and ready for me"
525182681877716993,2014-10-23 07:11:23,"i don't know, that sounds kinda the moon"
525154851718561792,2014-10-23 05:20:48,a meteor shower makes the moon wet
525129571557859332,2014-10-23 03:40:20,"i promise you this time i will only be gone the moon, a neutron star said"
525122304561266688,2014-10-23 03:11:28,@glitchtits a definite no no if you ever expected to see the moon again
525114403528527872,2014-10-23 02:40:04,i can't help but notice that the moon is already hard
525105241629286400,2014-10-23 02:03:40,"i will tell the moon this, a light year said"
525077550209306624,2014-10-23 00:13:38,"a nadir tasted so sweet, and i do like the moon, pink, wet, and swollen"
525061142226296833,2014-10-22 23:08:26,' i have the moon
525044473776967681,2014-10-22 22:02:12,you both always assume i'm afraid of the moon
525034400451276800,2014-10-22 21:22:10,i think that was the first time being the moon really paided off
525019274276896768,2014-10-22 20:22:04,"yea, and look at the moon, very nice"
525003766467006465,2014-10-22 19:20:26,"not in the moon thinks, but yes"
524994223162937344,2014-10-22 18:42:31,the moon for calling
524964339875196928,2014-10-22 16:43:46,"the moon, i tried to tell a nuclear fusion"
524947314087968768,2014-10-22 15:36:07,looking into each other's the moon
524924061525094401,2014-10-22 14:03:43,that gets the moon
524906767897997313,2014-10-22 12:55:00,i like to be thanked for the moon
524881102339444737,2014-10-22 11:13:01,"i will do anything you want, just please let the moon cum"
524873209552711680,2014-10-22 10:41:39,so far the moon really did seem to is a corona
524847669273841664,2014-10-22 09:00:10,"@__liwanag make a meteoroid come with your mouth, moon"
524847139365462016,2014-10-22 08:58:03,@__liwanag the moon let go as your body shakes
524846993722466304,2014-10-22 08:57:29,i look forward to administering a flare star in the moon
524820577282846722,2014-10-22 07:12:30,"i had to go down, and let the moon in"
524799609919377409,2014-10-22 05:49:11,"not what i was thinking, moon replied"
