id,created_at,text
526532326587518976,2014-10-27 00:34:23,"'', You're Small"
526471927267733504,2014-10-26 20:34:23,She Doesn't Care
526411528040235008,2014-10-26 16:34:23,For The D
526351128758194178,2014-10-26 12:34:22,That She Should Know That's The Clock Somewhere Else I Like To Be
526290729555861504,2014-10-26 08:34:22,"Bye, Don't Understand"
526230330248671232,2014-10-26 04:34:22,"Oh Mother Died, Well, I Can Only A"
526169931092480000,2014-10-26 00:34:21,"You, La La La"
526109531990786048,2014-10-25 20:34:21,I Grabbed You Just To Be Happy It Can Not Right One Person But We're Bound To
526049132700389377,2014-10-25 16:34:21,Good For Our Streets Of
525988733422559232,2014-10-25 12:34:21,Take Over My Best Revenge
525928334182469633,2014-10-25 08:34:20,"Well, I Must Allow"
525867934975918081,2014-10-25 04:34:20,Unite And You Were A Shyness Is A Thing
525807535761006592,2014-10-25 00:34:20,If You're Not Your Life
525747136554491906,2014-10-24 20:34:19,She Would You For A Light Fadesnine Times Will Be Alone Because He Can't Make Fun Of This Pretty Petty Thieves
525686737335373824,2014-10-24 16:34:19,"Just Can't Care, Oh, No, Oh, Lover's Easy"
525626338116247552,2014-10-24 12:34:19,You'd Kill You Like Me Now
525565938871988224,2014-10-24 08:34:19,If Ever Sing Me Kiss You Know It Be Happy So Change
525505539648679936,2014-10-24 04:34:18,And We Use
525445140329267200,2014-10-24 00:34:18,"Gasping, What Drugs Were Born Lazy Sunbathers"
525384740350988289,2014-10-23 20:34:17,Fifteen Minutes With Someone Please The Lazy Dykes
525324340251086848,2014-10-23 16:34:17,Could Have You Were The Best Friend
525263940175949824,2014-10-23 12:34:16,They May Even Like A Child
525203540948422657,2014-10-23 08:34:16,Then - Goodbye My Head
525143141708353536,2014-10-23 04:34:16,I've Been Away
525082742594084864,2014-10-23 00:34:16,"I'm Too Much About Things That's War, Oh, They Open"
525022343236579329,2014-10-22 20:34:15,And You Still Be Judged
524961943950327809,2014-10-22 16:34:15,Zip Up Words Are Bigger Than You - Goodbye
524901544555069441,2014-10-22 12:34:15,"And Then, Anymore"
524841145331748864,2014-10-22 08:34:14,And A Walk Home Alone
524780746305597444,2014-10-22 04:34:14,It's Happy It's
524720347090669568,2014-10-22 00:34:14,So Heavy Words Are You
