id,created_at,text
479157175546171392,2014-06-18 07:02:27,RT @aza: Visual and interactive map of keyboard shortcuts for popular apps http://t.co/UufdhQos4s Shows we still need Ubiquity http://t.co/…
312297478802264066,2013-03-14 20:21:35,RT @firefox: Wondering what you'll do without #GoogleReader? Firefox can fill the void w/ our #feedly add-on: http://t.co/G0Ae7UqihI
312297241471758336,2013-03-14 20:20:39,"RT @Tom: @firefox I would suggest Brief, as it’s the only reason nostrovia still uses Firefox. http://t.co/PPugLCRkhU"
309061990956015616,2013-03-05 22:04:55,RT @firefox: Mozilla is about keeping the web open &amp; free for everyone. RT if you support the open Web like @bogomep in this photo h ...
302253169235349504,2013-02-15 03:09:05,RT @Tom: Did anybody notice that Oscar’s network cable is unplugged on @TheOfficeNBC? http://t.co/RdlElRzz
300026433860939776,2013-02-08 23:40:50,RT @Win8Kickstart: Get started with Windows 8 apps! Free chapter in full color! http://t.co/llMH39HJ @Win8Kickstart #Windows #Windows8 # ...
285709183293218816,2012-12-31 11:29:12,RT @dinicmilos: Wanna be a Firefox hero? Then try helping with http://t.co/G92S84aw Please RT.
208664026664808449,2012-06-01 20:59:15,"Ubiquity Problem: Google Translate ""Suspected Terms of Service Abuse"" error http://t.co/d2njaD3Z"
158383171426201602,2012-01-15 03:01:05,"In honor of the @49ers victory today, @Firefox is now a free download."
149104584676216832,2011-12-20 12:31:17,"Searching twitter for 'fbchristmas' reveals some people actually believe the spambots. Don't fall for it. Instead, download @Firefox 9 today"
148722262399397888,2011-12-19 11:12:05,RT @azaaza: Apple just named The Eatery one of the top 3 best iPhone Health apps for 2011! #rewind2011 Get it here: http://t.co/LBe4otP3
146067990167822336,2011-12-12 03:24:57,RT @firefox: Know the @Mozilla story? How we're a non-profit that puts you first? Watch this 3 minute video to learn more: http://t.co/T ...
122050087777091585,2011-10-06 20:46:23,Ubiquity Problem: No gmail contacts again for ubiquity email command. http://t.co/AOWM3AYC
103937122976808960,2011-08-17 21:11:55,Ubiquity Idea: Integrating link sharing into Taskfox http://t.co/jjVThVc
76039257365557248,2011-06-01 21:35:46,RT @ul_Fabius: @mozillaubiquity or i use only the preview instead of complete search. i think your language study should be integrated o ...
76039236687638529,2011-06-01 21:35:41,RT @ul_Fabius: @mozillaubiquity for web search: using highlighted text and option for language like 'wiki firefox IN italian'
76039173517225984,2011-06-01 21:35:26,"RT @gialloporpora: @mozillaubiquity  I use frequentlly it to translate, shorten urls and tweet (switching users is very fast)"
76031827156017152,2011-06-01 21:06:14,What's your favorite way to make use of #Ubiquity in @Firefox?
75995364032909313,2011-06-01 18:41:21,"Calling twitter experts for GSFN help “@syncswim: I keeping getting a ""401 Unauthorized"" error for Twitter. :/” http://t.co/2B9WyQT"
75983354759098368,2011-06-01 17:53:38,"Ubiquity Problem: Twitter ""401 Unauthorized"" http://bit.ly/mP8GAz"
74114685837910016,2011-05-27 14:08:12,How do you design a debris-less browser? A Mozilla labs community concept: http://t.co/gbLkUO5 (via @Damte)
70693747955998720,2011-05-18 03:34:37,"Did you know: the man who started Ubiquity, @azaaza, has left Mozilla for his new company @massivehealth?"
68734102148366336,2011-05-12 17:47:41,Put Ubiquity in the title of your favorite movie and tweet with tag #ubifilm: Lady and the Ubiquity. The Last Ubiquity. Citizen Ubiquity.
55569668152373248,2011-04-06 09:56:55,"Ubiquity Question: I love this Add-on so so much.Now I install ff4 in my ubuntu 10.10,sometimes Ubiquity causes ... http://bit.ly/e8TYzO"
55346079700496384,2011-04-05 19:08:28,Ubiquity Problem: Ubiquity Create Search ...not creating? http://bit.ly/fdIU7F
55342087037661184,2011-04-05 18:52:36,Ubiquity Question: Why wont Thunderbird configure for Google partner page acct? http://bit.ly/hgIfJp
52330381961207809,2011-03-28 11:25:09,"For the latest in #fx4 pride, follow @AsaDotzler and his rockin' beard. Check http://t.co/idaC3sU for Ubiquity on @Firefox 4 info."
52329092560855040,2011-03-28 11:20:02,RT @ShakTech: Got #Ubiquity working under Firefox 4. Life is complete. @mozillaubiquity
52329077457174529,2011-03-28 11:19:58,RT @zdavatz: @mozillaubiquity works for me! Why are you saying this?
50539504083271680,2011-03-23 12:48:51,Ubiquity Problem: Ubiquity not available for Firefox 4.0 http://bit.ly/g9gzh9
44044147182682112,2011-03-05 14:38:37,Ubiquity Problem: Cannot summon ubiquity http://bit.ly/hjWUXZ
43900211160027137,2011-03-05 05:06:40,"RT @Microsoft: It's not often that we encourage you to stop using one of our products, but for #IE6, we'll make an exception: http://bit ..."
43886169850781696,2011-03-05 04:10:52,@goodguydan I think the real question is have you seen our twitter page? It's a feed of people posting ideas to our @GetSatisfaction page!
