id,created_at,text
521991612474617856,2014-10-14 11:51:13,How anyone who lived through the 90s could pretend to like Twista is beyond me.
521679392557510657,2014-10-13 15:10:34,If he heard what you all were saying about Wretch 32 Mark Arm would turn over in his grave.
520211268553428992,2014-10-09 13:56:46,I heard Eminem buzz -- when I died --
519626498341212160,2014-10-07 23:13:06,"Aestheticism is equivalent to supporting murder, just like Galantis is equivalent to generic hot dogs."
519287901298122752,2014-10-07 00:47:38,"There's an epidemic of niceness in criticism, and Vanic X K.Flay are the grotesque result."
518762563048599553,2014-10-05 14:00:07,"I may be an asshole, but at least I'm not pretending I like Dreamers just to be one of the ""cool kids."""
517320990854877186,2014-10-01 14:31:50,"*farts in hand* *brings to nose it* Hey, is that RAC I smell?"
516971656208580608,2014-09-30 15:23:42,"ODESZA may be a fourth-rate Blues Hammer, but at least they sound good in commercials!"
516605360941985792,2014-09-29 15:08:10,Integrity? Mating Ritual has none.
515925473285533696,2014-09-27 18:06:32,How many free tickets do you think they had to give bloggers to get them to talk about Sam Smith prod. by Freddy Verano - 2? 3?
515533437482975233,2014-09-26 16:08:44,No one actually likes ODESZA right? They just love making their corporate masters happy?
515160904309026816,2014-09-25 15:28:25,Anyone praising Ryan Hemsworth should have their Black Flag tattoo forcibly ripped from their skin.
514801564418969600,2014-09-24 15:40:32,Think Kendrick Lamar aren't total corporate shitheels? Think again.
514442008006361088,2014-09-23 15:51:47,All this talk about Logic makes me hungry for a shit sandwich.
514087407814066176,2014-09-22 16:22:43,"Blind item: WHICH trust fund kid was repeatedly called ""authentic"" by bloggers? (Hint: ALT-J dummies.)"
513738283344351232,2014-09-21 17:15:26,"Cool job writing the hundredth shit article about Cash Cash when no one remembers the Riverside scene, you faddish fucks."
513408934804090881,2014-09-20 19:26:43,Tove Lo = total sellouts.
