id,created_at,text
525082674017624064,2014-10-23 00:33:59,@Roni_Rose_ omg!
524956290674864128,2014-10-22 16:11:47,@Danawka that bad huh?
524692454294171648,2014-10-21 22:43:24,@TheCharvelle do u get dizzy?
523085534571552768,2014-10-17 12:18:04,@AbbyBeach914 yeah sure
522917366204997632,2014-10-17 01:09:50,"@ambjonas yuck, I'm trying to eat"
522137194652524544,2014-10-14 21:29:42,@Darko_Pie @Not_Gen @OctoberStories meh
522136472124948481,2014-10-14 21:26:50,@N0VALEX thanks
522136414142869505,2014-10-14 21:26:36,@sahraturan because good things aren't cheap. No idea
519522180045230080,2014-10-07 16:18:34,@Hazen_mathews I'm near your house?
518910705852903424,2014-10-05 23:48:47,@earth2nic0le sounds complicated
518619011043442688,2014-10-05 04:29:42,@ZB8_ERA @Things4WhitePpl this is racist and I'm offended
518618765009752064,2014-10-05 04:28:43,@abbymeade1 meh
517423001491763201,2014-10-01 21:17:11,"@cassandrareed @MessageHubApp Probably, if I were a blogger named Melissa."
515259702226472960,2014-09-25 22:01:00,"@MyMilitarySvgs @repostwhiz Oh, dogs. Sure, I like dags. I like caravans more."
515257960520744960,2014-09-25 21:54:05,@debBlufftonAGS the larger the sample the better it will reflect the population
515254707561193472,2014-09-25 21:41:09,"@IndieFLL a baby is not your body, it's the baby's"
515153328536576000,2014-09-25 14:58:19,@debBlufftonAGS @UndercoverRec 2037 people is a very small sample
514953879155638272,2014-09-25 01:45:46,@emmmaandrews not as awkward as this...
514953447863762944,2014-09-25 01:44:04,@debBlufftonAGS @UndercoverRec can't say I've wondered that
514953281089851392,2014-09-25 01:43:24,@anniegregoryy7 well at least u saved ink
514953009261199360,2014-09-25 01:42:19,@mikemccabe54 @katekos112 I don't feel called out
509774704702656512,2014-09-10 18:45:35,@stephrossi_ thanks
505334579893268480,2014-08-29 12:42:07,@incontrolorg didn't get an invite
495751108447731712,2014-08-03 02:00:49,@eliseeisabel is shawn the bbq?
495677911987273728,2014-08-02 21:09:58,@opiumgawd eating frozen yogurt
487063956515594240,2014-07-10 02:41:11,@kait_toale @yasminemonique as usual.
484770317810688000,2014-07-03 18:47:05,@HardMissile007 @alicequire meh
484769296480886784,2014-07-03 18:43:01,@krish_cena I know
482221250215813122,2014-06-26 17:57:59,#axis360connect I WON!!!!!! http://t.co/LNWIEnd3Ft
482200408480174082,2014-06-26 16:35:10,#axis360connect Having a blast at the show!
478976562453180416,2014-06-17 19:04:46,@bandsfto2l funny?
478976456492466176,2014-06-17 19:04:20,@PayneBrianna @Shawn_Daddy no problem
476373302177300481,2014-06-10 14:40:20,@KenVallejos Great news!
473440270386622464,2014-06-02 12:25:31,@NicholeSmile great idea
472825016749662208,2014-05-31 19:40:43,"@KateeeW Ma 

 / g"
472824680924323840,2014-05-31 19:39:23,@KateeeW 💡
472821604276514818,2014-05-31 19:27:09,"@fitnfastlouis g
Zoe w
PETA"
472813830738042880,2014-05-31 18:56:16,"@manny_espinosa @bamalamsam @mom @backfat @afaknT
Ftcs @BOYs mx
 We ja
  AK"
471764508004720641,2014-05-28 21:26:38,@KateeeW how would I know?
469920671431409664,2014-05-23 19:19:53,@manny_espinosa @bamalamsam @mom @backfat @bankaccount @BOYs  ok bye
466273101089488896,2014-05-13 17:45:44,"@HYPECincinnati right after Lockhart, TX http://t.co/htDWLW1otQ"
466272725993259008,2014-05-13 17:44:15,THE sauce http://t.co/EzP07gDeBx
466268982052278273,2014-05-13 17:29:22,Lunch at Blacks BBQ http://t.co/YLHUx8re4q
466251127114444800,2014-05-13 16:18:25,@MichelCloward you sure?
466250963645628417,2014-05-13 16:17:46,@gojamz @Agenda360 that's why it's 2nd I bet
466250639732142081,2014-05-13 16:16:29,@belledockins thanks
466004741156130817,2014-05-12 23:59:22,"@itsDaisyBro Cool, you get to work, I'll sit around and watch TV"
465891410408136705,2014-05-12 16:29:02,@BoomtownNOLA @mychoice sounds great!
465854493851017216,2014-05-12 14:02:21,@erick_jamal aim low
465854419506958339,2014-05-12 14:02:03,@maggieesullly @Jakegolds11 no idea
465589504854994944,2014-05-11 20:29:22,lamb http://t.co/UoE9GGtlwW
465562385466417152,2014-05-11 18:41:37,"@KnoodleMaker @BuzzFeed Cool, take all your possessions in a plastic bag"
465528542860947456,2014-05-11 16:27:08,Breakfast http://t.co/2fVG8cFbjL
465520028024963074,2014-05-11 15:53:18,@hannapoIIak I can tell.
462020629902794752,2014-05-02 00:07:56,Now THATS a taco http://t.co/n9YUchg87i
461958228926926848,2014-05-01 19:59:59,Ball o' bumpers http://t.co/jEP4aUMdkw
461945062918598656,2014-05-01 19:07:40,@EricZeeck @iChaningTatum duh
461880734269972480,2014-05-01 14:52:03,@ontarioxbabe I hear u
461222822702874625,2014-04-29 19:17:44,@TylerAndLilo oh ok
461122169993326592,2014-04-29 12:37:47,@_madisonmcguire rarely
460216125905592320,2014-04-27 00:37:29,@sapanonline right
460047338275635201,2014-04-26 13:26:47,@mandyjacksonn making a note
459789465460817920,2014-04-25 20:22:05,@LuisaVargas_ ok
459329105612124161,2014-04-24 13:52:47,"@dance12grant sorry, what?"
459076234782052353,2014-04-23 21:07:58,@mandyjacksonn wooo hooooo
459076191488471040,2014-04-23 21:07:47,"@Viratholic @SmaaashLive Steps 1-3, make sure you know where your tweet is going..."
459075978795298816,2014-04-23 21:06:57,@emma_malik246 @AmazingPhil @foodtweets news to me!
458042921011257344,2014-04-21 00:41:57,@BluJackson_ great idea
458042768267292672,2014-04-21 00:41:20,"@laceylovegood94 @duncanpete yes, yes it is"
457141525160275968,2014-04-18 13:00:07,@itskiyeshutup they all know now
457140313077727232,2014-04-18 12:55:18,@bwittnay just don't pick any flowers in the vicinity
456913967307190272,2014-04-17 21:55:53,@rlt08 because they have paper mills?
456414856363511809,2014-04-16 12:52:36,Incredibly Creative Stop-Motion Film Made with Only Rubber Bands &amp; Thumbtacks http://t.co/UIL7Nox4tC
456408341275607041,2014-04-16 12:26:42,@x_Asiaa @MsLeeLo thanks!
456199403418558465,2014-04-15 22:36:28,"@debo_oyinda just move the edges of the screen together, duh"
454738582612090880,2014-04-11 21:51:41,@Maxibloba because I get a lot of lame tweets
454737914975367168,2014-04-11 21:49:02,@OurTwerKINGS @zaynidope @sel_zaynmyworld join the club
454736814390013952,2014-04-11 21:44:39,@katielynn333 did she tell you she has a puppy in her car?
454592495247040513,2014-04-11 12:11:11,@kelllyflynnn how about now?
454233660753842176,2014-04-10 12:25:18,@biebertheg I been telling you for years
454005973921718272,2014-04-09 21:20:33,@MilhiiHola @are so sweet
453950730735333376,2014-04-09 17:41:02,@TheSaltySea crack it
453148707223896064,2014-04-07 12:34:05,@Ram__Z good thing is - lots of time to think about what went wrong on the way back
452602342693560320,2014-04-06 00:23:02,"@mattwardcomedy I didn't have to send a pic since she can see mine from her front porch, and I'm in Dallas"
452203280420990976,2014-04-04 21:57:18,@JessComoletti I canna help myself
452203196924981249,2014-04-04 21:56:58,@JaredCortum nah
452063354849222656,2014-04-04 12:41:17,Road http://t.co/dWbu3NwJ10
452058842864427008,2014-04-04 12:23:21,@HwangMiYoung21 awwww
452058639356801024,2014-04-04 12:22:33,Storm http://t.co/JRJwSzUhkv
451834544992174081,2014-04-03 21:32:04,"@SarahEMills_ @bkeeter60 I know, I heard u"
451071696208793600,2014-04-01 19:00:47,@niallsxclifford the Avatar has to ask why?
450960661653098496,2014-04-01 11:39:34,"@HotSexyThomas @sabrinaschick we'll, that's ONE"
450959979332108290,2014-04-01 11:36:52,@nopentgr8 I am
450959859815444480,2014-04-01 11:36:23,@sabrinaschick yep
450099880493473792,2014-03-30 02:39:08,@isabella_duff I know
450099832670015488,2014-03-30 02:38:57,@CamilleK11 no idea
449527324619186177,2014-03-28 12:44:00,@okJeannette quit waning
449309880315162624,2014-03-27 22:19:57,"@_alexxreyes @erinnncatherine sorry, asked me 1st"
449165880476180480,2014-03-27 12:47:45,@stonecaver20 home must be a tough place
449165295806984192,2014-03-27 12:45:26,@mo_patt funny?
449165204597649410,2014-03-27 12:45:04,@MariahHaitz @jclux2013 I try
449165075098509312,2014-03-27 12:44:33,@vlgrillot @natenolanxo if I was I'd date me
449164698080911360,2014-03-27 12:43:03,@ALLways_SONNy @Me u just did
449164617642569728,2014-03-27 12:42:44,@LordDezzy must be someone you ate
449158387192692737,2014-03-27 12:17:59,@Not_Gen @_tamagucci see ya
448577450440531968,2014-03-25 21:49:33,@delaxyannie what an exciting life
448577328138821633,2014-03-25 21:49:03,@BaystarI huh?
448576950114590720,2014-03-25 21:47:33,@hannah_wrong Must be a Windows phone
448576858620035072,2014-03-25 21:47:11,@neeecal You have no spice in your life
446624007022862338,2014-03-20 12:27:15,@mvssy @school waaaaahhhhhh
445996085367283712,2014-03-18 18:52:07,@G1LINSKY @jackgilinsky $50
445995976797732865,2014-03-18 18:51:41,@taylorperez97 nice tree
445677694135443456,2014-03-17 21:46:57,"@GrindOnTacoBell oh, phew, thought u were serious"
445677579802923009,2014-03-17 21:46:29,@VinnieQuiroga real men are their own wingman
445675582336937984,2014-03-17 21:38:33,@Riannee1312 maybe u shud tweet random people
444248253609943040,2014-03-13 23:06:52,"@JenSelter well, at least you look good picking it up"
442727823132749824,2014-03-09 18:25:13,@hancanario_ @rachelb0lduc please flush
442073919743221760,2014-03-07 23:06:50,@20Sweetcarolina No Problem Happens All The Time
442073732220084224,2014-03-07 23:06:05,@leboleope evening
442072710856720384,2014-03-07 23:02:02,@claire_murphy1 is it because ur fat?
441709763580002304,2014-03-06 22:59:48,@surfinstyles get your  ACT together then
441709609313529856,2014-03-06 22:59:12,@20Sweetcarolina np hatt
441709502149046272,2014-03-06 22:58:46,@GodTj1126 nice pic
441709430065750016,2014-03-06 22:58:29,@leboleope 👍
441313042840580097,2014-03-05 20:43:23,@oldpasadena Don't forget to tout your social media prowess!
441312608046428160,2014-03-05 20:41:39,"@NadsMyLife @TEAMNOSLEEP yes, pls tell me about me"
441312036010487808,2014-03-05 20:39:23,@amanderin310 meh
441202970227531777,2014-03-05 13:25:59,@basedtulip @Daliissa so do I
440992606189662209,2014-03-04 23:30:05,@TheLovelyCait I will get Luke to add you!
440992434302877698,2014-03-04 23:29:24,@BIGGNATEDOG yep
440992314765238274,2014-03-04 23:28:55,@oldpasadena congrats
440933369258336256,2014-03-04 19:34:42,@NadsMyLife but I hardly know  you
439131047385923584,2014-02-27 20:12:55,@Too_Amaising_ @MelodyLelia48 like right this second?
438667962287800320,2014-02-26 13:32:46,@zahraalshafey lame
438667516198404096,2014-02-26 13:31:00,@delreydiantt I'm telling Lana
