id,created_at,text
440229339071012864,2014-03-02 20:57:08,"ლ,ᔑ~ ͜ʖ~ᔐ.ლ ━━►  full of win"
438443099963293696,2014-02-25 22:39:15,┌∩┐|￣ ͜ʖ￣|┌∩┐ ━━►  swag • http://t.co/6tsKHsR1CJ
433739449252720640,2014-02-12 23:08:37,⎰≀.⌒ ͜ʖ⌒≀⎰ ━━►  la  bou
425669685003436032,2014-01-21 16:42:16,∊◠ᴥ◠∍ ━━►  Happy Bear
423900800054984706,2014-01-16 19:33:21,⊆ヘ﹏ुヘ⊇ ━━►  Bacon Lips • http://t.co/6tsKHsR1CJ
420247525879480320,2014-01-06 17:36:32,LOADING FUCKBOYS..█████████████]99%Complete
419626654743683073,2014-01-05 00:29:25,☁ 。☮ ˒̫̮ ☮ 。☁ --&gt; HIPPY HIGH AF
419615860224176129,2014-01-04 23:46:31,°˖✧◝(༎ຶᴥ༎ຶ)◜✧˖° --&gt; GOTH STAR CAT
418979107452747776,2014-01-03 05:36:18,✌|⇀⼼_↼|✌ ----&gt; peace hurrrtttts
418977247929044992,2014-01-03 05:28:54,(っ⚆_⚆)っ ---&gt; WWUUUTTTT??
412802755565469696,2013-12-17 04:33:41,RT @MollyWhy: “@newmoticons: We made an App!!! Check it out!! https://t.co/mDjh0xlUpP” THE BEST
411375281581346816,2013-12-13 06:01:24,१|◒﹏◒|५ confused af
410551985432453120,2013-12-10 23:29:55,°˖✧◝(◠ᴥ◠)◜✧˖°
410217836922281984,2013-12-10 01:22:08,ᘓ◜_ʖ◝ᘐ -&gt; takin dump
409951161928941569,2013-12-09 07:42:28,RT @angiesaid: ☞.◜◦⌓◦◝.☞ “@newmoticons: We made an App!!! Check it out!! https://t.co/RhximIjww3”
409383242060791808,2013-12-07 18:05:45,We made an App!!! Check it out!! https://t.co/8TWG3Bh5kY
409383063509286912,2013-12-07 18:05:02,♱༎ຶ⌓༎ຶ♱ ---&gt; goth in awe
405401170887577600,2013-11-26 18:22:25,☁•ᄒ_ᄒ•☁  ━━►  giiiiiiiiiiirl
404316562100068352,2013-11-23 18:32:34,RT @Internet4Ever: Showing my dad @newmoticons was the best thing I've ever done http://t.co/JgsJCY4c2v
402819502733541376,2013-11-19 15:23:48,☁ 。•͡˘㇁•͡˘ 。☁ ━━►  head in the clouds
401406274111565824,2013-11-15 17:48:08,ლ(́ ͡°⼼_ ͡°‵ლ) ━━►  I think that person accross the room is staring at me.
400342702182920192,2013-11-12 19:21:52,⊂⚆ ω ⚆⊃ ━━►  paranoid koala • http://t.co/6tsKHsR1CJ
400321733884149760,2013-11-12 17:58:33,◢◣⊙∠⊙◢◣ ━━►  get me outa egypt!!
398172445779431425,2013-11-06 19:38:03,ლ✰ ゜ ◞౪◟ ゜ ✰ლ ━━►  new portfolio http://t.co/RWKATpMufZ
397914281880342528,2013-11-06 02:32:12,☂/⊚ ˒̫̮ ⊚/☂ ━━►  will it rain?
