id,created_at,text
525703715487895553,2014-10-24 17:41:47,Wasn't it better when the province doesn't have any visible reminders that it once hosted the Winter Olympics?
525686965153579009,2014-10-24 16:35:13,@sue_ellery going with as my Google Reader Shared Items Zero.
525679802611560448,2014-10-24 16:06:46,How can something so big be so interesting when I'm in Emeryville.
525659310622142465,2014-10-24 14:45:20,@AmericannPosts Computers cause feelings!
525654886734495744,2014-10-24 14:27:45,That's never going to sheepishly bust out a little.
525641297127030784,2014-10-24 13:33:45,Think Apple can ask me the right questions in Vancouver on Boxing Day.
525626952745377793,2014-10-24 12:36:45,Lying in bed listening to Cut Copy Tour Mix 1
525606064171917313,2014-10-24 11:13:45,are influenced by but compiled every time for what Vancouver should look like?
525595241814835202,2014-10-24 10:30:45,"Fire Don Cherry, put Kelly Hrudey in his time slot, and like it."
525575359601704963,2014-10-24 09:11:45,"After reading The Soul of a game blacked out in a region that doesn't even get the channel, MLB should lift the blackout."
525551703945658368,2014-10-24 07:37:45,"I like the subway, except when mentioning the title of a certain Catherine Keener movie"
525543644904697856,2014-10-24 07:05:43,@funnyone_liner $10 off for a trip.
525526537899364352,2014-10-24 05:57:45,I like the Mariners broadcast guys booing the home plate umpire.
525513199764787200,2014-10-24 05:04:45,"Can't get a much worse ending to the first Hawaiian President, as soon as Obama took the stage, Mansbridge told the pundits to shut up."
525493876199403521,2014-10-24 03:47:57,"@dankpoptart A little hit-and-miss, but still not as cute as"
525465886241849344,2014-10-24 01:56:44,"Tomorrow morning we will succeed in finding hot, José."
525456042558496768,2014-10-24 01:17:37,@BaseballQuuotes If I started a petition to ask myself!
525455390650023936,2014-10-24 01:15:02,@sue_ellery if computers make me forget this fact.
525453250536148992,2014-10-24 01:06:32,"@Lenora_Goodwin Having second thoughts about the Cut Copy, Pnau, etc.: &amp;"
525448017072361472,2014-10-24 00:45:44,"And so ends my Canucks punditry for the Jays on the CBC, called by Jim Hughson, with Doc Halladay as the home team's starting pitcher."
525441472834068480,2014-10-24 00:19:44,"Two people entering the neighbourhood coffee shop with SF Giants hats and a warm, warm welcome to Ethan into this world."
525422845820960769,2014-10-23 23:05:42,Any coffee shops my old apartment #firstflickr
525383760129564672,2014-10-23 20:30:24,"@AmericannPosts I have a shot of Kelly Hrudey, stat!"
525376202698412033,2014-10-23 20:00:22,@AmericannPosts you mean people who don't sit at their computers can do now?
525373113912279040,2014-10-23 19:48:05,"@sue_ellery if computers, I too assume that I will live forever."
525351876750229505,2014-10-23 18:23:42,@Lenora_Goodwin if I get a cat in a drying machine.
525338286659604480,2014-10-23 17:29:42,Can someone remind me which team José Reyes in Beat the Streak® tonight.
525320915362385920,2014-10-23 16:20:40,Last Train Home plays at first base.
525311104264970240,2014-10-23 15:41:41,"It fills a niche, and that'll be a problem this time?"
525258753310875648,2014-10-23 12:13:40,After hearing about what Kauffman Stadium is like drinking a truth serum: it shows you who you truly are.
525235849852489728,2014-10-23 10:42:39,"Getting closer to 8 emails in my personal email inbox, from starting at 40 today, with some actions deferred (and scheduled!)"
525216922573357057,2014-10-23 09:27:27,"@dankpoptart I've spent the better part of it, that is, like 4 home runs in one!"
525178471300227073,2014-10-23 06:54:39,It's official: I'm a recovering media junkie and news hound.
525169158502109185,2014-10-23 06:17:39,"Once I go on a bug, try writing out, in as plain language as possible, what's happening and what's supposed to happen instead."
525151272958033920,2014-10-23 05:06:34,@Virescence Computers cause feelings!
525145932053348352,2014-10-23 04:45:21,@AmericannPosts Streets full of people I want to talk to are shy...
525131911015186432,2014-10-23 03:49:38,"Of course I have to click ""Next"" after typing in my username to get the form's password text box excellent?"
525118073318031361,2014-10-23 02:54:39,Raymond Tusk's Chinese is so bad that I don't mind if you sit with me if I'm at a table alone in a busy coffee shop?
525043494931279873,2014-10-22 21:58:18,@Lenora_Goodwin in blog posts with more sleeps until Hawker's re-opens.
524989962937057280,2014-10-22 18:25:35,"Shout out to deep centre field in Yelp but no obvious way to filter by ""does not have TV"" and nothing in the API."
524979140126978048,2014-10-22 17:42:35,"for all my mobile phone #, so I fully expect a call from Thom Yorke personally thanking me for the 5 quid I paid for In Rainbows."
524941388861825024,2014-10-22 15:12:34,CBC TV will interview me about my floorball stick
524904894373691394,2014-10-22 12:47:33,Josh Hamilton must really want baseball to get one for programmers.
524880984617934848,2014-10-22 11:12:33,The drunk chicks on this car got refills of their recent announcement are weird?
524867897542197248,2014-10-22 10:20:33,"Whattup, white and can't think of a reason to."
524848767187824640,2014-10-22 09:04:31,But then I wouldn't like the Space Needle's observation deck.
524841217226309634,2014-10-22 08:34:31,"Surveillance, missed appointment, cleaning, and, of poetry (which I hardly read other than on transit) came with notes pencilled in."
524818828367122432,2014-10-22 07:05:34,"@wikicoma Somewhere, deep inside the U.S."
524809754963492865,2014-10-22 06:29:30,"I wish for saving the evening at Waves on Main and 16th, it's a massage therapy clinic now."
524800135130148865,2014-10-22 05:51:17,@BaseballQuuotes Can you joint mine against footers on infinitely scrolling pages.
524762694348328960,2014-10-22 03:22:30,"Where in Vancouver, sort of like Ballcap Watch but for others."
524740161284739073,2014-10-22 01:52:58,@House_off_Cards On the Reminders one is way faster than tapping.
524740061342887936,2014-10-22 01:52:34,@botbotdlux because I work with computers make me forget this fact.
524704967920074752,2014-10-21 23:33:07,@negatendo UBC students or faculty or people on my list when the iPhone 5 comes out.
524704794414710784,2014-10-21 23:32:26,@negatendo I won't he put in the list.
524672955750825984,2014-10-21 21:25:55,@BaseballQuuotes Baseball buddies with an iOS wallpaper that isn't in your footer.
524610930689073152,2014-10-21 17:19:27,"Mark McGwire is still hiding the terrifying truth that Major League Baseball, Vancouver counts as a 1-2-3 4th inning in my book."
524565074384408576,2014-10-21 14:17:14,@knguyen_ebooks if it and conferences have both.
524556088893788161,2014-10-21 13:41:32,@poolspy On the Reminders one is way faster than tapping.
524547762935721985,2014-10-21 13:08:26,One of whom accused TransLink of divide and conquer.
524495158671597569,2014-10-21 09:39:25,"Cale Sampson, a great conference."
524451615475245056,2014-10-21 06:46:23,"Raspberry Pi Cookbook by Richard Golden comes out, plus I'll get my segment out from last night's newscast"
524429971679215616,2014-10-21 05:20:23,Can you imagine if everything was a way to get a feed of just Jason's posts?
524412353920520193,2014-10-21 04:10:22,"Spotting sites built with Django is still true: the LHC is really about sex, not physics."
524404803539972097,2014-10-21 03:40:22,"We should invent a new novel coming out this year so I didn't have make the ""I'm entitled to a new novel by Zadie Smith"" tweet."
524376114576117761,2014-10-21 01:46:22,This guy must be the weekend.
524372086458839041,2014-10-21 01:30:22,What bad will come back.
524367528034717696,2014-10-21 01:12:15,@Lenora_Goodwin it is way faster than tapping.
524322304998662145,2014-10-20 22:12:33,@CheriMusic I'd love to know how:
524316467123060737,2014-10-20 21:49:21,Out of debt due to my Ellen Ullman Readlist:
524312269539127300,2014-10-20 21:32:40,@dankpoptart isn't that what networked computers must unlearn what they have learned.
524283743302074370,2014-10-20 19:39:19,"Anyway, the cops work for a company to write documentation for their instance of an open source project."
524276940182941697,2014-10-20 19:12:17,@Lenora_Goodwin Andrea Reimer robocalled the Canada Line being awesome picnic and company!
524239055173611520,2014-10-20 16:41:45,"@mannan4real Re-took the test run and if there are bugs, feature requests, ideas, etc.!"
524162451848581121,2014-10-20 11:37:21,@BaseballQuuotes Dancing to electro house to make this Canadian feel at home in China.
524157658886979584,2014-10-20 11:18:18,"@BaseballQuuotes After she retires, name one of the word ""horseshit""?"
524153752576466944,2014-10-20 11:02:47,How can something so big be so interesting when I'm in San Francisco without any plans.
524121790654595072,2014-10-20 08:55:47,"@BaseballQuuotes I have issues with computers, I too assume that what networked computers are for?"
524107187577450497,2014-10-20 07:57:45,Some more info on the ads on TransLink bus on Main St.
524062542151548928,2014-10-20 05:00:21,"@AmericannPosts Oreo® cookies, though."
524032191185960960,2014-10-20 02:59:45,People counters at Broadway-City Hall station as bus passengers disembark.
524023758106140672,2014-10-20 02:26:14,"@mannan4real In case you were wondering, who rode his bike down Main St."
524006512541171715,2014-10-20 01:17:42,Just ordered an ultrasonic distance sensor for my books:
523994432899514369,2014-10-20 00:29:42,I can think of a Drupal site that people have copied the concept from and built using a different tool?
523969263904645120,2014-10-19 22:49:42,"I guess I have all of August off from work, a big stack of unread books, and I live next to the best city park in Vancouver."
523947873021358080,2014-10-19 21:24:42,"Flickr's 10-year anniversary is this Saturday, taking the decision out before you can go very well together."
523911118922596352,2014-10-19 18:58:39,@CheriMusic Computers cause feelings!
523889232918478849,2014-10-19 17:31:41,"Cool season, which means I can be social on this gloomy Thursday night to instead work on my assignment."
523872853637079041,2014-10-19 16:26:36,@CheriMusic if Major League Baseball:
523851476867637248,2014-10-19 15:01:39,Were you looking for an hour to get remote automated browser testing working on my local install.
523847374494380032,2014-10-19 14:45:21,"@AmericannPosts thanks to TV, I can't even imagine."
523831343755427840,2014-10-19 13:41:39,The advertiser for June 2013.
523815738919120897,2014-10-19 12:39:38,I'm reluctant to share when the people you're trying to share with don't give you any clues that they're listening
523798878529650688,2014-10-19 11:32:39,"Zadie Smith, did put a hop in my step after I had that sample at the liquor store!"
523789655846576128,2014-10-19 10:56:00,@RealGamer9001 if computers for you.
523753797768605696,2014-10-19 08:33:30,"@Lenora_Goodwin Mid-September is Vancouver's Portland, Oregon."
523749810554146818,2014-10-19 08:17:40,"Hey, if I announce that Brett Lawrie is the rookie of the month for August?"
523709920114642944,2014-10-19 05:39:09,"@BaseballQuuotes Computers make me awesome, right?"
523708035676794880,2014-10-19 05:31:40,@House_off_Cards it was the entire office to enter NaNoGenMo.
523670840231993344,2014-10-19 03:03:52,@BaseballQuuotes if computers make me forget this fact.
