id,created_at,text
522091348464533504,2014-10-14 18:27:32,om mani pa*dme hum
522076248399675393,2014-10-14 17:27:31,唵嘛呢叭咪吽
522061148401967104,2014-10-14 16:27:31,ओं मणिपद्मे हूं
522046047733157888,2014-10-14 15:27:31,om mani 'padme hum
522030947685130240,2014-10-14 14:27:31,om mani Padme hum
522015847821631488,2014-10-14 13:27:31,om mani  padme hum
522000747819712512,2014-10-14 12:27:31,ഓം മണി പദ്മേ ഹും
521985647834570752,2014-10-14 11:27:31,om mani pa(dme hum
521970547929149440,2014-10-14 10:27:31,om mani padm&amp;e hum
521955448057233408,2014-10-14 09:27:30,om mani padme hhm
521940347874983936,2014-10-14 08:27:30,om mani padm&gt;e hum
521925247915003904,2014-10-14 07:27:30,om m_ani padme hum
521910148009574401,2014-10-14 06:27:30,om mtni padme hum
521879948165148672,2014-10-14 04:27:30,om mani pagdme hum
521864848230318081,2014-10-14 03:27:30,om mxani padme hum
521849748295524352,2014-10-14 02:27:30,om mdani padme hum
521834648457216000,2014-10-14 01:27:30,om mani padmE hum
521789347910402048,2014-10-13 22:27:29,om mani padmehum
521774248093032448,2014-10-13 21:27:29,om mansi padme hum
521759148120494080,2014-10-13 20:27:29,โอมฺ มณิ ปทฺเม หูมฺ
521744047812403201,2014-10-13 19:27:29,om$ mani padme hum
521728948137652224,2014-10-13 18:27:29,オーン マニ パドメー フーン
521713847951192065,2014-10-13 17:27:28,om mani padme [hum
521698748175761408,2014-10-13 16:27:28,om mani pAdme hum
521683648182235137,2014-10-13 15:27:28,oM mani padme hum
521668548016738305,2014-10-13 14:27:28,om mani pame hum
521653448065159168,2014-10-13 13:27:28,om mani zadme hum
521638347681583105,2014-10-13 12:27:28,om uani padme hum
521623247805493248,2014-10-13 11:27:28,唵嘛呢叭咪吽
521608147858100224,2014-10-13 10:27:28,om mani ladme hum
521593047902326784,2014-10-13 09:27:28,om mani padme um
521577947917209600,2014-10-13 08:27:27,ༀམཎིཔདྨེཧཱུྃ།
521562848045305856,2014-10-13 07:27:27,옴 마니 파드메 훔
521547747946938369,2014-10-13 06:27:27,om mazni padme hum
521532648075059200,2014-10-13 05:27:27,om myani padme hum
521517548052168704,2014-10-13 04:27:27,om maNi padme hum
521502448234807298,2014-10-13 03:27:27,om manipadme hum
521487348081917952,2014-10-13 02:27:27,옴 마니 반메 훔
521472248260358144,2014-10-13 01:27:27,o mani padme hum
521442048336199680,2014-10-12 23:27:26,om mani Padme hum
521411848516960256,2014-10-12 21:27:26,om yani padme hum
521396748485656576,2014-10-12 20:27:26,om mani padje hum
521381648659927041,2014-10-12 19:27:26,om mai padme hum
521366548628639744,2014-10-12 18:27:26,ཨོཾ་མ་ཎི་པདྨེ་ཧཱུྃ
521351449335570432,2014-10-12 17:27:26,om mani padmefhum
521336348880683009,2014-10-12 16:27:26,om mani padme hum
521321249000423424,2014-10-12 15:27:26,om mani pAdme hum
521306149006876672,2014-10-12 14:27:25,oo mani padme hum
521291049093066752,2014-10-12 13:27:25,o(m mani padme hum
521275954661175296,2014-10-12 12:27:27,om mani padme  hum
521260849236041728,2014-10-12 11:27:25,om Mani padme hum
521245749259288576,2014-10-12 10:27:25,om mani  padme hum
521230649404162048,2014-10-12 09:27:25,om mani pame hum
521215549310001152,2014-10-12 08:27:25,ওঁ মণিপদ্মে হুঁ
521200449492643841,2014-10-12 07:27:25,om mani padye hum
521185349402628096,2014-10-12 06:27:25,oM mani padme hum
521170249610428416,2014-10-12 05:27:25,om mani padm hum
