id,created_at,text
402719215075196928,2013-11-19 08:45:17,"Listen to ""I Bet You"" by Funkadelic: http://t.co/ja7qEZHhvl"
402715440126111744,2013-11-19 08:30:17,"Bet you never lose my love, you stuck by me Bet you never lose my love, bet on me"
402711666657624064,2013-11-19 08:15:18,"Bet you never lose my love, stuck by you Bet you never lose my love, you can't lose"
402707890789961728,2013-11-19 08:00:17,"Bet you never lose my love, I'm a winner Bet you never lose my love, come on"
402704117124325376,2013-11-19 07:45:18,Bet you never lose my love Bet you never lose my love
402700340342312960,2013-11-19 07:30:17,"You will win, I betcha Betcha never lose my love You got to win, I betcha"
402696567637164032,2013-11-19 07:15:18,If you want a winning hand If you want a perfect man Betcha never lose my love
402553121647636481,2013-11-18 21:45:17,"You can't know what's going on if you're asleep, I bet ya"
402545574869999616,2013-11-18 21:15:18,"If the shoes are too small they hurt your feet, and I betcha"
402534249636839425,2013-11-18 20:30:18,"A carpenter can't build his house without his tools, I bet you"
402526701592518656,2013-11-18 20:00:18,"Take a car without fuel, ain't gonna move, and I betcha"
402519149572001792,2013-11-18 19:30:18,"You will win, I betcha Betcha never lose my love You will win, I betcha"
402511601632542720,2013-11-18 19:00:18,If you want a winning hand If you want a perfect man Betcha never lose my love
402504052736811009,2013-11-18 18:30:18,"If you try to sit on air, you're gonna fall, and I betcha"
402496501202833408,2013-11-18 18:00:18,"If you bet on a horse and the horse don't win, you lose and I betcha"
402488951128485888,2013-11-18 17:30:18,"A drowning man's very first words is help, I bet you"
402477623487778816,2013-11-18 16:45:17,"Ice cubes on a red hot stove will melt, and I bet ya"
402470073170145280,2013-11-18 16:15:17,"Today I'm going to sing ""I Bet You"""
402156761702232066,2013-11-17 19:30:18,"Listen to ""Super Stupid"" by Funkadelic: http://t.co/Yk99NYwVIM"
402145438012538880,2013-11-17 18:45:18,Super stupid you're here today You've lost the fight and the winner is fear
402134112741625858,2013-11-17 18:00:18,"Oh! stupid with your ups and downs Your maggot brain, your grins and frowns"
402122785751072769,2013-11-17 17:15:17,Super stupid did a one and one Then his eyes begin to water and his nose begin to run
402107687498178561,2013-11-17 16:15:18,"Super stupid bought a nickel bag Thought it was coke, but it was skag"
402096362332127232,2013-11-17 15:30:18,"Today I'm going to sing ""Super Stupid"""
401873642617073664,2013-11-17 00:45:17,@TEaMPLAyaRSyaya But I read an old quotation in a book just yesterday
401839669471903744,2013-11-16 22:30:17,"@fuggenduffy Starchild here, doin' it in 3-D So good, it's good to me"
401707550770749440,2013-11-16 13:45:18,"Listen to ""Free Your Mind and Your Ass Will Follow"" by Funkadelic: http://t.co/4nw9o9epQw"
401703776001982464,2013-11-16 13:30:18,The kingdom of heaven is within Free your mind and your ass will follow
401700002114048000,2013-11-16 13:15:18,The kingdom of heaven is within The kingdom of heaven is within The kingdom of heaven is within
401696225956990976,2013-11-16 13:00:18,Free your mind and your ass will follow Free your mind and your ass will follow
401692449984491521,2013-11-16 12:45:17,"Resurrection, free of charge I can't hear me  I can't hear me"
401688679766585344,2013-11-16 12:30:18,I'm so mixed up So mixed up What time is it? What time is it? What time is it?
401684902556749824,2013-11-16 12:15:18,I can't run I can't get out I can't free my mind I can't free my mind I can't free my mind
401681129574776833,2013-11-16 12:00:18,"I can't free my mind No, no, no They won't free me"
401677357003853824,2013-11-16 11:45:19,Here's my arm Help me escape  I don't want to I don't want to I don't want to
401673576975450112,2013-11-16 11:30:18,I can't free my mind So my ass can't follow Someone help me I got to get help
401669806518452225,2013-11-16 11:15:19,I'm so confused I'm so confused  I can't hear myself I can't hear myself calling for help
401666052620574720,2013-11-16 11:00:24,"I can't feel me, I can't live me, I can't be me My mind, it does not belong to me"
401662255898841088,2013-11-16 10:45:18,I don't understand I don't understand nothin' I don't know what I feel
401658483999006720,2013-11-16 10:30:19,I'm so confused  I'm so confused about it all I'm so confused about the whole thing
401654727370625024,2013-11-16 10:15:24,I wanna know I really care The kingdom of heaven is within The kingdom of heaven is within
401650928824360960,2013-11-16 10:00:18,The kingdom of heaven is within (are you satisfied?) The kingdom of heaven is within (are you satisfied?)
401647155213262848,2013-11-16 09:45:18,The kingdom of heaven is within (free your mind!) The kingdom of heaven is within The kingdom of heaven is within
401643379622412288,2013-11-16 09:30:18,The kingdom of heaven is within The kingdom of heaven is within
401639604690120704,2013-11-16 09:15:18,The kingdom of heaven is within The kingdom of heaven is within The kingdom of heaven is within
401635839090110464,2013-11-16 09:00:20,The kingdom of heaven is within Free your mind and your ass will follow
401632055311990785,2013-11-16 08:45:18,Get it on! Free your mind and your ass will follow
401628282590076928,2013-11-16 08:30:19,Free your mind and your ass will follow Free your mind and your ass will follow Free your mind and your ass will follow
401624506940538880,2013-11-16 08:15:18,The kingdom of heaven is within
401620734235385856,2013-11-16 08:00:19,Free your mind and your ass will follow Free your mind and your ass will follow
401616955628875776,2013-11-16 07:45:18,I want you home I'm calling you love from my heart
401613179727646720,2013-11-16 07:30:18,"Give it up, give it up Give it up and give it to me, baby"
401609404413648896,2013-11-16 07:15:18,Free your mind and your ass will follow
401541457498365953,2013-11-16 02:45:18,@awkwardsidehug Loving would be so unfair To make me live without her kiss
401450858367696896,2013-11-15 20:45:17,I have to find some way out Free your mind and your ass will follow
401447086593703936,2013-11-15 20:30:18,"Now, I want a way out, now I have to find a way"
401443308494651392,2013-11-15 20:15:17,"If it were mine, I would have fun all of the time I'm very disgruntled now"
401439535298801664,2013-11-15 20:00:18,(Free your mind and your ass will follow)
401435762098716672,2013-11-15 19:45:18,"Well, I discovered that this life that was gettin' to me Is not really mine"
401435760932708352,2013-11-15 19:45:18,@beardedmiguel If you hear any noise It's just me and the boys Hit me You gotta hit the band
401431987598397440,2013-11-15 19:30:18,"Save your mind Men like you, boy Men like you You are as free as you want to be"
401431985933266944,2013-11-15 19:30:18,@mrkjcbs With the groove our only guide we shall all be moved
401428207242866688,2013-11-15 19:15:17,Free your mind and your ass will follow
401424438396456960,2013-11-15 19:00:18,"I have never, never never never in my life Have this given to me"
401420658405806080,2013-11-15 18:45:17,When you free your mind your ass will follow
401416885050544130,2013-11-15 18:30:18,Free your mind and your ass will follow The kingdom of heaven is within
401235691310690304,2013-11-15 06:30:18,Free your mind and your ass will follow The kingdom of heaven is within
