id,created_at,text
352814172142186497,2013-07-04 15:40:28,You can’t bring handcuffs through airport security.
344512593890775041,2013-06-11 17:52:57,TUMBLR IS NOT A PHOTO CREDIT./via @MaryFletcher_
344469889584603136,2013-06-11 15:03:16,Huff n Puff until you get all the stuff./via @snarkninja
344469888036896768,2013-06-11 15:03:15,"In every personal email I send, I include the phrase “click here to unsubscribe” so the NSA filter disregards. You’re welcome./via @vmh"
344469886489214978,2013-06-11 15:03:15,"If you hard boil eggs &amp;amp; accidentally mix them with fresh eggs, spin them. Hard boiled eggs spin fast &amp;amp; clean, fresh eggs wobble…"
344469848727908352,2013-06-11 15:03:06,"10 minutes in a microwave is too much for a donut. Also, apologies everyone @whitebearyard/via @teller"
344422837190266880,2013-06-11 11:56:18,Drink your beer with a straw at the club./via @MistaEdd
344302200111108096,2013-06-11 03:56:55,The guy in the pilot costume does not know ALL the answers to EVERY question you have at the airport. #WhereDoIPayForThisMagazine/via…
344266285242273792,2013-06-11 01:34:13,"if you want to bore the audience during a console transition, open with your lackluster handheld and current-gen games #sonye3/via…"
344232327586648064,2013-06-10 23:19:17,Giving apartment managers the reason why you're looking for an apartment gets ya brownie points. #thanksfire/via @MonikaKerby
344232310641672192,2013-06-10 23:19:13,don't pick you callouses./via @GingerBenMan_
344232307986661376,2013-06-10 23:19:12,"Use a large carabiner to carry more grocery bags in one trip! Or, to have fewer groceries to carry, get divorced./via @Writepop"
344232306107613185,2013-06-10 23:19:11,"if you repeatedly have to use TwitLonger, then Twitter maybe is not for you./via @CountCarbon"
344198650282512384,2013-06-10 21:05:27,Skip the ceviche at Long John Silver's./via @BryanCooking
344198648613203968,2013-06-10 21:05:27,"when making choc chip pancakes,use warm water. Some of the choc will melt through the mix-choc every bite &amp;amp; looks like whole wheat/via…"
344114453597544449,2013-06-10 15:30:53,When you claim to have to have power is usually the first sign that you have anything but./via @GirlNextDoorYYC
344114451965956097,2013-06-10 15:30:53,Try to get help from people that have done what you're doing before you. Usually works out better than winging it/via @pratikcherian
344072115886116864,2013-06-10 12:42:39,The Lamborghini Miura is beautiful./via @Alxhabr
344072097301159936,2013-06-10 12:42:35,"If you eat what you think is a chocolate almond and it turns out to be a black olive, it's a horrible experience/via @zoltandulac"
344032800837627904,2013-06-10 10:06:26,"I honestly believe that if you're nice and chill and not basic in high school, they'll like you./via @tinytoribird"
343996121221316608,2013-06-10 07:40:41,"when you say, “I won’t spoil anything, but OH MY GOD,” that’s a spoiler. #ineedtoturnofftheinternet/via @scamper"
343996119547801601,2013-06-10 07:40:40,if you have somebody you're mad at and don't wanna explain but have no other excuses/explanations invite them over.../via @cottontale002
343956710437814272,2013-06-10 05:04:04,"if the bin is full, don't put more rubbish in it. Not hard./via @davidadonaldson"
343956708869156864,2013-06-10 05:04:04,"if you're trying to make a serious horror movie, at no point should you ever try to include someone getting impaled by a unicorn./via…"
343956707497631744,2013-06-10 05:04:04,don't date archers #gameofthrones/via @espy_spinosa
343956705794744320,2013-06-10 05:04:03,"whispering ""Hodor Hodor Hodor"" is not cute or romantic #gameofthroneslessons/via @not_katie_"
343924164173918208,2013-06-10 02:54:45,to win @smarkhamsass's affection just buy her some alcohol/via @cwindyy42
343892891548127235,2013-06-10 00:50:29,first thing you do after getting home from a convention: throw away anything someone handed you as you were walking. #HeroesCon/via…
343892889945919488,2013-06-10 00:50:28,don't put the whole burrito in your mouth/via @so_birdilicious
343892886498193408,2013-06-10 00:50:28,"if you see a humanoid figure draped in a bloody sheet, leave it alone. #vhs2/via @MyZombieandMe"
343861225123348480,2013-06-09 22:44:39,don't try to brake on a scooter w/o shoes on. You will burn your foot #lessonlearned/via @HoseyyThomas
343788415285866496,2013-06-09 17:55:20,"If you're going to clap along at a trad music session, try to stay on the beat. Especially if you're loud./via @Neal_Rick"
343676748384317442,2013-06-09 10:31:36,"when someone show you a picture on their phone, don’t swipe left &amp;amp; don’t swipe right. Just look./via @adidlucu"
343512590653202432,2013-06-08 23:39:18,"Take your girl out for sushi. Cover your face in wasabi and say ""Smokin' &amp;amp; Somebody stop me!"" Then get super laid./via @DooglesFudge"
343512589004861440,2013-06-08 23:39:18,"If you need to be an internet bully to make yourself feel good, focus your efforts on harassing people you can actually intimidate./via…"
343512587096444929,2013-06-08 23:39:17,"Don't go to raevs or parties with your chic. It won't end well. Having said that, good luck explaining why u don't go with her./via…"
343447765218639872,2013-06-08 19:21:42,"Apply sunscreen w/ sandals on, then remove them to neutralize or even invert sandal-tan, to confuse and baffle friends!/via @danfinlay"
343447763591233536,2013-06-08 19:21:42,"if an accident happens in a store and you drop the word ""lawsuit""...I do not legally have to talk to you anymore. =)/via @ErinDire"
343410113404612610,2013-06-08 16:52:05,"if you see a deer in the road, don't swerve, accelerate/via @jdmskitty"
343334094740017154,2013-06-08 11:50:01,"DO NOT brake in the middle of a turn, the weight transfer will upset the balance of the car and you will spin into the ditch./via @Alxhabr"
343334093053898753,2013-06-08 11:50:01,"If you don't care what you dress like, you dress like someone's dad./via @michaelmckay00"
343334071822340096,2013-06-08 11:49:56,"when travelling, read the home office website more carefully than I did!/via @adam_pope"
343227704025419776,2013-06-08 04:47:16,"if you have the hiccups, pooping doesn't necessarily help/via @BUPoops"
343227702406422528,2013-06-08 04:47:15,"also please don't say ""trolled"" ""u mad bro"" or ""poned"" oh my gosh/via @yaasmynee"
343227406607343616,2013-06-08 04:46:05,"When playing Corpse Party, always get a bottle of water...and be ready to drink it....everytime./via @Irene_desu"
