id,created_at,text
526110842165936129,2014-10-25 20:39:34,"recognition—wherein each competitor follows his own private sense of fair play

https://t.co/zK7f8TDoZG"
526080642686418945,2014-10-25 18:39:33,"""How narratives persuade: By showing cause-and-effect relationships""

https://t.co/9lZkg4Ulbl"
526050444456779776,2014-10-25 16:39:34,"""The Ray Memorial 100""

https://t.co/o4n8TA9otm"
526020244327133185,2014-10-25 14:39:33,"2008) « Political Tag Clouds  

https://t.co/gdYlsuZbuI"
525990045824843776,2014-10-25 12:39:34,"(not counting the French Fry arc)

https://t.co/DOCUQ1kL0U"
525959845401612288,2014-10-25 10:39:33,"to_read   Copy and Paste Literacy? Literacy Practices in the Production of a MySpace Profile  

https://t.co/NeGczCThYa"
525929646723198976,2014-10-25 08:39:33,"although this film represents something a little more cross-cultural""             film_club

https://t.co/aU6iZJ4bqb"
525899445062606849,2014-10-25 06:39:33,"""[M]etal sculptures created using found materials which are fixed without welding.""

https://t.co/Q2ueui1Ntr"
525869248498126848,2014-10-25 04:39:33,"""Raccoon Films""

https://t.co/D6D40LRLm9"
525856150508412928,2014-10-25 03:47:30,"""Sync or Swarm: Improvising Music in a Complex Age""

https://t.co/kf2s7KBTuS"
525825950182027264,2014-10-25 01:47:30,"industrial_age   Endangered Machinery  

https://t.co/oG70IPfMi0"
525795750828318720,2014-10-24 23:47:30,"""Todd the Squirrel""

https://t.co/IDZWmmzpzN"
525765551084535808,2014-10-24 21:47:30,"""Who wants to own content?""

https://t.co/SD5iLbC84v"
525735355048546305,2014-10-24 19:47:30,"apocalypse   David Maisel :: Photography :: Terminal Mirage  

https://t.co/wyxVgEdAzH"
525705154151321601,2014-10-24 17:47:30,"""I just started a new job at Google""

https://t.co/fyDtqiMNAJ"
525674953522552832,2014-10-24 15:47:30,"""The belief in unfolding possibilities""

https://t.co/meaquABXZx"
525644751501291520,2014-10-24 13:47:29,","" but ok             internet

https://t.co/ffkaOH8IFL"
525614552617340929,2014-10-24 11:47:29,"""Soul of the Machine: Awakening the moral conscience of impersonal systems""

https://t.co/RdK5LwdxEl"
525584354123476993,2014-10-24 09:47:29,"to_see   Useless | Reverse Shot  

https://t.co/0wBlBn48qg"
525554153729572864,2014-10-24 07:47:29,"information_visualization   Social Networking Tools Applied to Scientific Topics  

https://t.co/lhYtbqmAdT"
525523954992427008,2014-10-24 05:47:29,".0 circa 2008             communication_technology, communication, internet, web2.

https://t.co/JkAqH4NKKy"
525493754049089536,2014-10-24 03:47:28,"electromagnetic_imaginary   Off Goes the Power Current Started by Thomas Edison  

https://t.co/xzuS8dVs1O"
525485681314119680,2014-10-24 03:15:24,"undefined

https://t.co/DkuXBo1gNR"
525455480748269568,2014-10-24 01:15:23,"""Seven Nights of Halloween""

https://t.co/sAks8sfoYI"
525425281797206017,2014-10-23 23:15:23,"narrative   Harry Potter and the Magic of Narrative Closure  

https://t.co/NjfU2U8vyo"
525395082087006208,2014-10-23 21:15:23,"and lightweight piece of photo equipment             wishlist

https://t.co/Jzqnmr1Sow"
525364888232001536,2014-10-23 19:15:24,"undefined

https://t.co/YY0n95ANV3"
525334683643830272,2014-10-23 17:15:23,"to_read   ""Simple Patterns to Useful Effect"": The Music of Roy Montgomery  

https://t.co/o5XNFQkPV4"
525304485229633536,2014-10-23 15:15:23,"""Love""           Videogame in development.  Worth watching             videogames   ""Love""  

https://t.co/88QWjYmDyo"
525274284563124225,2014-10-23 13:15:23,"Inc           Drag-and-drop web app maker

https://t.co/i1JXnujsAH"
525244086144761856,2014-10-23 11:15:23,"undefined

https://t.co/0j08mNa73z"
525213886040248320,2014-10-23 09:15:23,"politics   Wordle - Sarah Palin at Vice Presidential Debate 10/2/08  

https://t.co/YNnxJmtrgL"
525183685189189632,2014-10-23 07:15:22,"Rambo Death Chart           It is what it says             media_commentary, violence   Rambo Death Chart  

https://t.co/NUOtt3OSyi"
525153487924260864,2014-10-23 05:15:23,"and some devil's claw             advice

https://t.co/FGYqDffGE6"
525123289954656256,2014-10-23 03:15:23,"""The Bechdel Test""

https://t.co/23FTVJq7q1"
525085406925434881,2014-10-23 00:44:51,"dabbledb   Beautiful Evidence  

https://t.co/EIBHnuH8Xl"
525055207831769088,2014-10-22 22:44:51,"but these captures of little human moments at the Olympics are nearly perfect             philosophy

https://t.co/3sn3WCC7fY"
525025010646519810,2014-10-22 20:44:51,"undefined

https://t.co/quoZNZQfJI"
524994819090042880,2014-10-22 18:44:53,"and I'm not sure it would be any less engrossing doing the entire thing a second time

https://t.co/ue8eP0smvY"
524986939167219712,2014-10-22 18:13:34,"(aka algorithmic artists)

https://t.co/meRuMKw3mC"
524985054548992000,2014-10-22 18:06:05,"adolescents   Too Many Projects Film Club: daughters of the sun

https://t.co/rnIRSg4FXO"
524954852477382657,2014-10-22 16:06:04,"to_read   ""Cronenberg’s violent reversals""  

https://t.co/Ft6mDznyJg"
524924651760533505,2014-10-22 14:06:04,"to_read   Is Google Making Us Stupid?  

https://t.co/WSqP8FNN1u"
524894450938810368,2014-10-22 12:06:03,"business_of_writing   Firewheel Editions  

https://t.co/A2TNitpa9f"
524864252503670784,2014-10-22 10:06:03,"“Unethical” MMO Design And Everything Else You May Hold Dear About Video Games  

https://t.co/puE1tFtLbU"
524834051719696384,2014-10-22 08:06:03,"for:sasharayray   computational drawings  

https://t.co/hQU5rlak7q"
524803852131123200,2014-10-22 06:06:03,"academia   open-access is the future: boycott locked-down academic journals  

https://t.co/1tQdV0Aupi"
524773651980500992,2014-10-22 04:06:03,"undefined

https://t.co/pEggUBUyM8"
524743452790382593,2014-10-22 02:06:03,"mp3s   Gapers Block Presents: Transmission

https://t.co/QP82HBDqKQ"
524713253554102272,2014-10-22 00:06:03,"networks   Does what happens in the Facebook stay in the Facebook?  

https://t.co/cbKvdXSFIm"
524683055693578240,2014-10-21 22:06:03,"future   The CandyFab Project - The Revolution will be Caramelized

https://t.co/qsXCNuorTF"
524652854083338241,2014-10-21 20:06:02,"The           My scavengings from Martha Nochimson's book             media_commentary

https://t.co/TtpWc6FLBe"
524622657418199040,2014-10-21 18:06:03,"Spring Handbook | Wiki                        projects, spring   Spring Handbook | Wiki  

https://t.co/33XvCE7am3"
524602697962770432,2014-10-21 16:46:44,"geek_culture   ""Destroy All Monsters""  

https://t.co/wvRQrAhLQP"
524572497954754562,2014-10-21 14:46:44,"via:bfunk   The Iraq War Is Now Illegal &amp;gt

https://t.co/HMa5RgAYy5"
524542298462629888,2014-10-21 12:46:44,"emergence   Everyone Forever / Words / Desire Paths  

https://t.co/e0leecZ8fA"
524512098249109504,2014-10-21 10:46:43,"""Compromise""           Whew, depressing.             humor, adulthood   ""Compromise""  

https://t.co/S0vKuDmaYV"
524481898668908544,2014-10-21 08:46:43,"""hardboiled and crackling through the post-Pynchonian circuitry,""

https://t.co/OkDjHNZBDF"
524451700997120001,2014-10-21 06:46:44,"note_this   The Mystery of Star Wars: Galaxies  

https://t.co/HXzFanYUef"
524421499990847488,2014-10-21 04:46:43,"communities   Mutilated Furries

https://t.co/8g2AG3Pqdx"
524391302767857664,2014-10-21 02:46:43,".  Found via my Facebook sidebar             government, economics, apocalypse, documentary, to_see   I.

https://t.co/sJQh1cL3Dl"
524361102139092992,2014-10-21 00:46:43,"and then opt not to buy it

https://t.co/zEHwHaenTV"
524330903418331136,2014-10-20 22:46:43,"television   Storytelling in Film and Television  

https://t.co/T1e8vpQ84C"
524300708628013056,2014-10-20 20:46:44,","" especially for ""users experiencing low self-esteem and low life satisfaction

https://t.co/GnZKTqiEXl"
524270519689170944,2014-10-20 18:46:47,"transplanted to the Nettime list             city

https://t.co/fM1to7KSeT"
524240315226791936,2014-10-20 16:46:45,"""Half the World [Has Never Made A Phone Call]""

https://t.co/JifnHcuoSQ"
524226457053450240,2014-10-20 15:51:41,"undefined

https://t.co/0lCvKxSSKO"
524196247574683648,2014-10-20 13:51:39,"released by the people who put out ""LOL

https://t.co/l000BuLf7y"
524166046832664576,2014-10-20 11:51:38,"a Gapers-Block-related Chicago music site

https://t.co/BXXdWtr8Ka"
524135846912753665,2014-10-20 09:51:38,"advice   Top 10 Ways to Clean Up Your PC  

https://t.co/ZoX7CBJtK8"
524105648850890752,2014-10-20 07:51:38,"bad_reviews   Dave's Long Box  

https://t.co/rgMaSBcHMU"
524075450650595329,2014-10-20 05:51:38,"violence   The Pinocchio Theory » A History of Violence  

https://t.co/hZCgccM0dj"
524045248692236288,2014-10-20 03:51:38,".  Some sublime stuff there.

https://t.co/P68WyZ0VFO"
524015049149775872,2014-10-20 01:51:38,"archive   FOLK COLLECTION 8a: Group 4: Tales and Jokes  

https://t.co/mwZR6SvOk1"
523984850307792897,2014-10-19 23:51:38,"undefined

https://t.co/P01nqMYGQC"
523954650115211264,2014-10-19 21:51:37,"undefined

https://t.co/ObKwPOyQaj"
523924451646504960,2014-10-19 19:51:37,"""books and the man, part II (sort of)""

https://t.co/kfr4VGBAD4"
523864053505335296,2014-10-19 15:51:37,"game_history   Lego Island - Wikipedia

https://t.co/bQ0aQLO6D6"
523855455739981824,2014-10-19 15:17:28,"logic   Boltzmann brain - Wikipedia

https://t.co/bt26mwVbzW"
