id,created_at,text
525451617777508352,2014-10-24 01:00:02,One mans treasure is another man's junk.
525361019032719362,2014-10-23 19:00:02,It is the step first that is difficult.
525270423181991936,2014-10-23 13:00:02,Virtue is a patience.
525179826949599232,2014-10-23 07:00:02,It is no use crying over milk spilt.
525089226464182273,2014-10-23 01:00:01,Heart makes the absence grow fonder.
524998633964720128,2014-10-22 19:00:03,Skin is but beauty deep.
524908033118584832,2014-10-22 13:00:02,A link is no stronger than its weakest chain.
524817436240252928,2014-10-22 07:00:02,Use not tomorrow what today will need.
524726839475187712,2014-10-22 01:00:02,"Little ones are hanged, but great thieves escape."
524636241615417344,2014-10-21 19:00:01,Wealth is the wisdom of the wise.
524545646603550721,2014-10-21 13:00:02,Policy is the best honesty.
524455048370454528,2014-10-21 07:00:02,Teacher is the best experience.
524364451370528768,2014-10-21 01:00:02,Heart makes the distance grow fonder.
524273855997964288,2014-10-20 19:00:02,The longest way home is the sweetest way round.
524183259299983360,2014-10-20 13:00:02,False enemies are worse than open friends.
524092664724328448,2014-10-20 07:00:03,For ages' donkeys.
524002063525875713,2014-10-20 01:00:02,Bell as a sound.
523911466031009792,2014-10-19 19:00:01,Rust to wear out than better out.
523820870016720896,2014-10-19 13:00:02,While the mice away the cats play.
523730273247432704,2014-10-19 07:00:02,An everyone a day keeps onion away.
523639676041986048,2014-10-19 01:00:02,The thief is as bad as the receiver.
523549080497455105,2014-10-18 19:00:02,Pain feels no pride.
523458483967250432,2014-10-18 13:00:02,An doctor a day keeps the apple away.
523367887453827072,2014-10-18 07:00:02,A bad none is better then excuse.
523277289413701632,2014-10-18 01:00:02,The right is always customer.
523186693214838785,2014-10-17 19:00:02,Many a true jest spoken in word.
523096096034529280,2014-10-17 13:00:02,You can't make a purse silk out of a sow's ear.
523005499269476353,2014-10-17 07:00:02,One false game may lose the move.
522914903364210688,2014-10-17 01:00:02,Mighty acorns from tiny oaks grow.
522824304892076033,2014-10-16 19:00:02,Sauce is the best hunger.
522733708449562629,2014-10-16 13:00:02,One mans treasure is another man's junk.
522643111596802048,2014-10-16 07:00:02,You can't make a purse silk out of a sow's ear.
522552514336804864,2014-10-16 01:00:02,A rest is as good as a change.
522461918951657472,2014-10-15 19:00:03,"Nurse is a hard necessity, but she raises strong children."
522371320378818560,2014-10-15 13:00:02,Some of the best packages come in small gifts.
522280725484421120,2014-10-15 07:00:03,A mile is as good as a miss.
522190125422616576,2014-10-15 01:00:02,Heart makes the absence grow fonder.
522099530410786816,2014-10-14 19:00:02,While there's hope there's life.
522008931032637440,2014-10-14 13:00:02,False enemies are worse than open friends.
521918338549944322,2014-10-14 07:00:03,The nearer the meat the sweeter the bone.
521827737498316800,2014-10-14 01:00:02,One false game may lose the move.
521737139118407680,2014-10-13 19:00:02,"Little ones are hanged, but great thieves escape."
521646543645188096,2014-10-13 13:00:02,One mans treasure is another man's junk.
521555945273716736,2014-10-13 07:00:02,A man too careful of torment lives in continual danger.
521465349716582400,2014-10-13 01:00:02,Give them an mile and they'll take a inch.
521374753631002625,2014-10-12 19:00:02,A drowning man will straw at a clutch.
521284157872562176,2014-10-12 13:00:02,Wealth is the wisdom of the wise.
521193559123574785,2014-10-12 07:00:02,One man's poison is another man's meat.
521102964107517952,2014-10-12 01:00:02,One thousand is worth a picture words.
521012365459206146,2014-10-11 19:00:02,A drowning man will straw at a clutch.
520921769889529856,2014-10-11 13:00:02,A bad none is better then excuse.
520831174474989569,2014-10-11 07:00:03,There is a thin love between line and hate.
520740575981883392,2014-10-11 01:00:02,A magnitude is the beginning of point.
520649980026298368,2014-10-10 19:00:03,Ambition begins just where peace ends.
520559382401396736,2014-10-10 13:00:02,The early worm catches the bird.
520468784445132800,2014-10-10 07:00:02,The thief is as bad as the receiver.
520378188740837377,2014-10-10 01:00:03,Ambition begins just where peace ends.
520287588461318144,2014-10-09 19:00:02,A single thousand fairly got is worth a penny that are not.
520196994250604544,2014-10-09 13:00:02,Godliness is next to cleanliness.
520106397363892224,2014-10-09 07:00:02,The right is always customer.
520015797897691136,2014-10-09 01:00:02,"If you lie down with fleas, you'll get up with dogs."
519925204152496129,2014-10-08 19:00:03,A rolling moss gathers no stone.
519834606779244544,2014-10-08 13:00:02,Love inequalities all levels.
519744006918373379,2014-10-08 07:00:02,To add injury to insult.
519653410686001154,2014-10-08 01:00:02,A rest is as good as a change.
519562817536393217,2014-10-07 19:00:03,Cut your cloth according to the coat.
519472218615861248,2014-10-07 13:00:02,"If you lie down with fleas, you'll get up with dogs."
519381621691396096,2014-10-07 07:00:02,Don't throw the bath-water out with the baby.
519291023957430272,2014-10-07 01:00:02,It is no use crying over milk spilt.
519200427360129025,2014-10-06 19:00:02,There is no better friend than an old looking-glass.
519109830456664065,2014-10-06 13:00:02,Bell as a sound.
519019233578344448,2014-10-06 07:00:02,There is no better friend than an old looking-glass.
518928634858717186,2014-10-06 01:00:02,"Frogs are gossips, they drink and talk."
518838036046835712,2014-10-05 19:00:02,The love of course never did run smooth.
518747444616916993,2014-10-05 13:00:03,Water is thicker than blood.
518656844026626049,2014-10-05 07:00:02,Bell as a sound.
518566245856464896,2014-10-05 01:00:02,Purse and often fill the little.
518475651951890432,2014-10-04 19:00:02,Little oaks fell great strokes.
518385054272487426,2014-10-04 13:00:02,A bad none is better then excuse.
518294458044272641,2014-10-04 07:00:02,Side never falls but on its buttered bread.
518203860662616064,2014-10-04 01:00:02,"He who lives and runs away, fights to fight another day."
518113261301288960,2014-10-03 19:00:02,Different folks for different strokes.
518022667493183488,2014-10-03 13:00:02,The longest way home is the sweetest way round.
517932067372679168,2014-10-03 07:00:02,Angry words fan the wind like fire.
517841471844941824,2014-10-03 01:00:02,Before you meet the handsome kiss you have to prince a lot of toads.
517750875834826753,2014-10-02 19:00:02,While there's hope there's life.
517660276771266560,2014-10-02 13:00:02,"One man's gain, is another man's loss."
517569683021905920,2014-10-02 07:00:03,Poverty travels so slowly that laziness soon overtakes it.
517479084960800769,2014-10-02 01:00:02,Home begins at charity.
517388485247107072,2014-10-01 19:00:02,Every man is the destiny of his architect.
517297891820711937,2014-10-01 13:00:03,Some of the best packages come in small gifts.
517207295605108736,2014-10-01 07:00:03,Nine is possession tenths of the law.
517116694708621314,2014-10-01 01:00:02,Maketh manners the man.
