id,created_at,text
525415558884622338,2014-10-23 22:36:45,@LeftGorilla @GorillaCities http://t.co/DlhSyVNzda
525382434142302209,2014-10-23 20:25:08,@LeftGorilla @GorillaCities http://t.co/wiZhYNkdbj
525345947359121408,2014-10-23 18:00:08,@LeftGorilla @GorillaCities http://t.co/OX7FRmfeHO
525309970125172736,2014-10-23 15:37:11,@LeftGorilla @GorillaCities http://t.co/XAKjJr17kS
525273535649161216,2014-10-23 13:12:24,@LeftGorilla @GorillaCities http://t.co/aQeQMRWlbQ
525237319042101248,2014-10-23 10:48:29,@LeftGorilla @GorillaCities http://t.co/PTu4WV53BF
525216309903380480,2014-10-23 09:25:00,@LeftGorilla @GorillaCities http://t.co/DXXbNlc24y
525182927068725248,2014-10-23 07:12:21,@LeftGorilla @GorillaCities http://t.co/HYXoAroNIZ
525110466583228416,2014-10-23 02:24:25,@LeftGorilla @GorillaCities http://t.co/aX2r1cGKRl
525037987810533377,2014-10-22 21:36:25,@LeftGorilla @GorillaCities http://t.co/9yal0KwU76
525001833413349376,2014-10-22 19:12:45,@LeftGorilla @GorillaCities http://t.co/3aVDHljMDZ
524965591795642368,2014-10-22 16:48:45,@LeftGorilla @GorillaCities http://t.co/cgUiKP8a67
524929265515892736,2014-10-22 14:24:24,@LeftGorilla @GorillaCities http://t.co/OgvcdSXeVf
524893158627614723,2014-10-22 12:00:55,@LeftGorilla @GorillaCities http://t.co/Re1hN8kCEk
524838748488740865,2014-10-22 08:24:43,@LeftGorilla @GorillaCities http://t.co/c26sNJAD8i
524784426929360896,2014-10-22 04:48:52,@LeftGorilla @GorillaCities http://t.co/BW6lOBlkj8
524748075135692800,2014-10-22 02:24:25,@LeftGorilla @GorillaCities http://t.co/ZIx5VmcnpO
524693779136385024,2014-10-21 22:48:39,@LeftGorilla @GorillaCities http://t.co/153vKSBja6
524657586126462977,2014-10-21 20:24:50,@LeftGorilla @GorillaCities http://t.co/JXZNP9WLJr
524621170638086144,2014-10-21 18:00:08,@LeftGorilla @GorillaCities http://t.co/XPkR1ZycMU
