id,created_at,text
526515786358484992,2014-10-26 23:28:40,"Four hours of relentless swing music later.
Wao"
526500687417720832,2014-10-26 22:28:40,"""Okay, everyone
We're gonna need a bigger overcoat"
526485588657332224,2014-10-26 21:28:40,Appropriate the appropriate stance in regards to appropriation.
526470489230045184,2014-10-26 20:28:40,Only bitcoin can save the Royal Bank of Scotland
526455391342034945,2014-10-26 19:28:41,"""Cross reference these five things""
*click*
*it happens*"
526440292615204864,2014-10-26 18:28:41,A reminder that it is base... http://t.co/vDnP5DQcXl
526425197906501635,2014-10-26 17:28:42,"Thunder and lightning
KABOOOM
Every time I read Adorno"
526410095362838530,2014-10-26 16:28:41,Why do you do? http://t.co/0PrhCgHkNz http://t.co/viBMG4mhLR
526379896680239105,2014-10-26 14:28:41,For I have double clicked the TS3W.exe icon
526364798167306240,2014-10-26 13:28:41,"Random Chemical Brothers live sessions.
I used to be a better collection of manahorsery than this http://t.co/c2g1iiedpz"
526349698974887937,2014-10-26 12:28:42,"I'm gonna fight someone on the internet.
...naaaah."
526334600663302144,2014-10-26 11:28:42,"PSA, in case of sudden acute low blood sugar levels:
1) pick a human right
2) no
3) watch response"
526319503354105856,2014-10-26 10:28:42,"You look at it""
But you're the authors! It's a work of fiction! You're free to
""We can't give women the vote! That'd be immoral!""
*realizes"
526304404623065088,2014-10-26 09:28:42,Invest in your enemies http://t.co/o4xTBVqYsS
526289305053167616,2014-10-26 08:28:42,"""Certain time periods"", aka the years when I was young http://t.co/mIbJT9QAcH"
526274208289259520,2014-10-26 07:28:43,Abuse that frame of reference.
526259107972775936,2014-10-26 06:28:43,Stay clear of alleys. You have forgotten why y
526228912582705152,2014-10-26 04:28:44,"...how do you even spell ""h""?"
526213809833508864,2014-10-26 03:28:43,What can intersectional theory tell us about it.
526199965648187392,2014-10-26 02:33:42,@hubbit Only bitcoin can save the Ryukyians
526198710712430593,2014-10-26 02:28:43,"Euch
No, there isn't.
Hark!"
526183613176750080,2014-10-26 01:28:44,Someone has dumped a money on me.
526168516291227650,2014-10-26 00:28:44,The eternal rhetorical nod to the old one http://t.co/JFxf4e4KdE
526153417044295681,2014-10-25 23:28:44,We will not be unfinanced.
526138316824256512,2014-10-25 22:28:44,"Avoid being effective at all times!"" - Devout ideologues."
526123224007180288,2014-10-25 21:28:46,"Welp. I was supposed to be!
http://t.co/9PiiwN1G0n"
526108118854676480,2014-10-25 20:28:44,"Market research question of the day, every day."
526093022875095040,2014-10-25 19:28:45,"Hmm.
Is that the band from Iceland."""
526077921333899264,2014-10-25 18:28:45,"nae nae nae nae
inspector gadget
nae nae nae"
526062825421434880,2014-10-25 17:28:46,Useful notes on american holidays http://t.co/SXv13Nr5Jw
526047724123480065,2014-10-25 16:28:45,Your life is a point and click.
526032624515813376,2014-10-25 15:28:45,"It's 2 AM, and I like it http://t.co/I5fPVM5K3a"
526017527919681538,2014-10-25 14:28:46,Antennas to Heaven...]
526002427900989440,2014-10-25 13:28:46,The key to winning the war on terrorism. NoReallyThisISBullshit
525987328091635713,2014-10-25 12:28:46,"Winter's laying it on thick, it would seem."""
525972231542038528,2014-10-25 11:28:46,"The water is safe once again.

Jigga jigga."
525957133536608256,2014-10-25 10:28:47,OS is acting up. Gnarf.
525942033446617089,2014-10-25 09:28:46,"I have it on good authority that I'm going to have to build a new one.
The dialogue in GTAV.
My first thought: what do I need to move"
525926932945584128,2014-10-25 08:28:46,"""We are the cyborgs
Blip blip blip blop."
525911835027849216,2014-10-25 07:28:47,"Rhetorical marxism
vs
Somber remembrance of the dead*
...whoa"
525896737358372864,2014-10-25 06:28:47,The thing added to the Other Blogroll http://t.co/5BE9QyVCLu
525881638925127680,2014-10-25 05:28:47,"""Wanton publication?""
The question for all occasions."
525866539439112194,2014-10-25 04:28:47,"Not all men
Not all males"
525851442104385537,2014-10-25 03:28:48,A memory leak. In your cybernetic leg.
525836343834714112,2014-10-25 02:28:48,Is there a point of view http://t.co/AZU3u1kkSN
525821247264129024,2014-10-25 01:28:49,She Dreamt She Was Alone in an Empty Field
525806144514961408,2014-10-25 00:28:48,Did computer CD readers always sound this much?
525791044974428160,2014-10-24 23:28:48,"""A social group of animals, notably kangaroos""."
525775945912025088,2014-10-24 22:28:48,There's a wide range of th... http://t.co/BTbKkeeL1D
525760849697603584,2014-10-24 21:28:49,This might pose something of a design flaw.
525745751176278016,2014-10-24 20:28:49,"Autumnal equinox
Intentions
*ponders*
HEEEEEEEEEY MACARENA"
525730654156500992,2014-10-24 19:28:50,Digital favelas. I am reconnected to the matrix.
525715553248628736,2014-10-24 18:28:49,Multitasking is the new black bloc.
525700454823772162,2014-10-24 17:28:50,DAMN LEMONS! http://t.co/wAwYegiAEa
525685358152142848,2014-10-24 16:28:50,Power is always in the datails.
525670254492803072,2014-10-24 15:28:49,"Badger Badger Badger Badger
*gets interrupted*
notallmen!"
525655158345445377,2014-10-24 14:28:50,"Are video games art?
*looks at time*
Wat"
525640058448392193,2014-10-24 13:28:50,Save-scum like you've never heard of increases.
525624961130827776,2014-10-24 12:28:51,"Am I employable?
No.
No derivatives tolerated."
525609862760501248,2014-10-24 11:28:51,Still need a bigger wormjet
525594762448228352,2014-10-24 10:28:51,"Trouts
and other lapses into surrealism"
525579665784971264,2014-10-24 09:28:51,"Potential discourse.
""Okay, A, Aardvark..."""
525564564763844608,2014-10-24 08:28:51,Do the things that deserve to be written*
525549467182051329,2014-10-24 07:28:51,There's a whole lot of people aren't.
525534368480387072,2014-10-24 06:28:52,Be on the internet: a primer http://t.co/ZIhaU2RxI0
525519270953095168,2014-10-24 05:28:52,"""an especially broad phylum of trolls""
welp
shit"
525504169705488384,2014-10-24 04:28:52,The fastest way to become a content creator.
525489070542434304,2014-10-24 03:28:52,Inflation generating inflation. Infleption.
525473972822212608,2014-10-24 02:28:52,"WHen in doubt, launch into an irate jeremiad."
525458875244642305,2014-10-24 01:28:53,Fund me.
525443777235013633,2014-10-24 00:28:53,Entelechy in all things http://t.co/QHrSeWgO6j
525428676910137346,2014-10-23 23:28:53,"Kittens
From the deep.
Deep cats."
525413576585281536,2014-10-23 22:28:53,"The twitter feed is scrolling once again.
Ouch."
525398477325758464,2014-10-23 21:28:53,"Socially necessary labor time.
Los Endos."
525383381497151491,2014-10-23 20:28:53,"low tech
low brow
low fi"
525368282032123904,2014-10-23 19:28:53,We are living past the e... http://t.co/o58tGVxoLr
525353184194465793,2014-10-23 18:28:54,Gotta remember the basics.
525338086545584128,2014-10-23 17:28:54,Twitter dot com phenomenon Worm Jets. In detail.
525322988061990912,2014-10-23 16:28:55,This concludes another exciting social media day
525307890341806080,2014-10-23 15:28:55,We dance with wrong chords to wrong songs
525292788083331074,2014-10-23 14:28:54,Competitive market effciency in all things http://t.co/96NQ2DAvYr
525277687628451840,2014-10-23 13:28:54,"What is it?
- It's a ""chat"" room."
525262589979525120,2014-10-23 12:28:55,Bring me the 1940s version of the same.
525247490669690880,2014-10-23 11:28:55,"Apparently, it is not a common occurance."
525232392848826368,2014-10-23 10:28:55,"WHen in doubt, slam the door musically http://t.co/BwR1NQlE0Q"
525217295430586368,2014-10-23 09:28:55,Upwards. You know it to be. http://t.co/gjEwgkfNaW
525202195462246400,2014-10-23 08:28:55,"Fun fact of the day, every day http://t.co/rJbgNsnv6v"
525188349804699648,2014-10-23 07:33:54,@sargoth Give me brass goggles or give me hugs!
525187096861245440,2014-10-23 07:28:56,".Computers these days.
Good call."
525172000143446016,2014-10-23 06:28:56,DO NOT DOUBLE CLICK THE DOG PARK!
525156901949300736,2014-10-23 05:28:57,"He came, he stayed, he fell http://t.co/qRtBv3rxzG"
525141802870120449,2014-10-23 04:28:57,"LiberalsGetUpsetWhen
Did you know that they indeed loaded."
