id,created_at,text
525998971106631680,2014-10-25 13:15:01,📑 Flyval Reltio 1 - 2 Drirs
525983870488150016,2014-10-25 12:15:01,⚽ FC Swiown 2 - 0 Cony
525968772885413888,2014-10-25 11:15:02,⚽ UE Gold Taicad 0 - 0 Tert
525953671625179136,2014-10-25 10:15:01,⚽ FC Mid 0 - 0 Annel
525938572567015424,2014-10-25 09:15:01,⚽ Sensen Ged 4 - 2 Cinexey
525923474905104384,2014-10-25 08:15:02,💩 Cemałystuc FC 1 - 3 St. Jeryid Nuxo
525908375813382145,2014-10-25 07:15:02,😝 Cambril FC 1 - 2 Stanky Tawn
525893273798602752,2014-10-25 06:15:01,⚽ Skus 3 - 1 Dast Gløn
525878175164018689,2014-10-25 05:15:01,⚽ Donendill MY 0 - 2 Ananambla
525863074969182208,2014-10-25 04:15:01,⚽ Valelbusto 1 - 1 ZY Ulle
525847977366016002,2014-10-25 03:15:02,⚽ Thotens 1 - 2 Diddeardo
525832877674487808,2014-10-25 02:15:02,⚽ Raewn 2 - 2 Wosned
525817777471647744,2014-10-25 01:15:02,⚽ Wenamezy 1 - 0 Kouns FC
525802676983177216,2014-10-25 00:15:01,⚽ Bad 2 - 2 Rubon FC
525787577685925889,2014-10-24 23:15:01,💺 Puwere 2 - 2 Carpsis Ken
525772477239418880,2014-10-24 22:15:01,📯 Derte 1 - 1 Natongio
525757381394059264,2014-10-24 21:15:02,🐋 Gul Sanfe 0 - 1 Bopekerte
525742282289721344,2014-10-24 20:15:02,🐕 Borrkoa 4 - 0 Swuen Kade
525727182686261248,2014-10-24 19:15:02,⚽ XO Sékors 2 - 1 Ugy
525712080562028544,2014-10-24 18:15:01,⚽ Miarto JY 2 - 0 FC Neçolin
525696979486380032,2014-10-24 17:15:01,⚽ YD Ceartmens 1 - 1 Elar
525681881015414784,2014-10-24 16:15:01,📇 Lenry 0 - 1 Eruniorpsbuwn
525666784016605184,2014-10-24 15:15:02,⚽ Rastun 0 - 0 Chrigellivy
525651681602973696,2014-10-24 14:15:01,⚽ Wenar 0 - 0 Jes Jemeg
525636583505281024,2014-10-24 13:15:02,💹 Mynginok FC 2 - 0 Chebert
525621483960537088,2014-10-24 12:15:02,⚽ FC Curd Remnin 0 - 3 Mjama
525606382838767616,2014-10-24 11:15:01,⚽ Arsero 2 - 3 Nanetio
525591286343274496,2014-10-24 10:15:02,🌾 FC Stiresiolle 1 - 1 Madrarein
525576186546909185,2014-10-24 09:15:02,⚽ Duserps 0 - 1 Jad
525561088214331393,2014-10-24 08:15:02,⚽ Droromfa 4 - 3 RF Artlingste
525545986811502592,2014-10-24 07:15:02,⚽ Broftos 1 - 0 Momost
525530885035405312,2014-10-24 06:15:01,⚽ Privske 2 - 3 FC Gramfenergi
525515789164896257,2014-10-24 05:15:02,⚽ Vendrath 1 - 3 Darrke
525500686709301248,2014-10-24 04:15:01,💁 Tysida 3 - 1 Ses Des
525485588573859840,2014-10-24 03:15:02,⚽ Niowcodbi FC 1 - 1 Brarrkevele
525470490820108289,2014-10-24 02:15:02,⚽ Lolezy 1 - 0 Jidiaroal FC
525455390587494404,2014-10-24 01:15:02,😷 Baublawn 0 - 3 CM Hirnad Goartle
525440291890008064,2014-10-24 00:15:02,⚽ Untyio IC 1 - 0 Jirdaya
525425188968886272,2014-10-23 23:15:01,⚽ Glomptark 3 - 1 Abecuva
525410091676491776,2014-10-23 22:15:02,⚽ Mos Thuwsa 1 - 2 Grenorara QE
525395034792017920,2014-10-23 21:15:12,⚽ Cotard Dapyo 0 - 2 Irfekersa
525379893979521025,2014-10-23 20:15:02,⚽ Toro 1 - 3 Thery
525364798696198145,2014-10-23 19:15:03,⚽ Jag 2 - 0 Suremarga
525349692876800000,2014-10-23 18:15:01,🐋 Joln 1 - 0 Groghe
525334592207978496,2014-10-23 17:15:01,⚽ Brosoac 1 - 1 Cibleegam KY
525319493992873984,2014-10-23 16:15:01,⚽ Sihund 3 - 1 St. Jengas's Golda
525304393298903041,2014-10-23 15:15:01,⚽ FC Tiel Cewn 2 - 1 Mortenong
525289293317943297,2014-10-23 14:15:01,⚽ Wang 0 - 0 Ñonhena
525274196801507328,2014-10-23 13:15:02,💈 Dar 0 - 3 CA Fíndehon
525259095344177152,2014-10-23 12:15:01,⚽ Leroci 3 - 0 Kun Geirra
525243997003186176,2014-10-23 11:15:02,⚽ Podyache 1 - 2 Pegnsewia
525228894996406272,2014-10-23 10:15:01,📎 Ran 2 - 1 Neresalle
525213799817961472,2014-10-23 09:15:02,⚽ Birfly Jed Nan 1 - 1 Dons Dabs
525198696724852736,2014-10-23 08:15:01,⚽ FC Angyd 0 - 1 Kireddiewn UV
525183597381451776,2014-10-23 07:15:01,⚽ Swourarodya 3 - 2 Auavetan
525168500386836481,2014-10-23 06:15:02,⚽ Qistliaty 1 - 1 Shellesa
525153399462195200,2014-10-23 05:15:01,⚽ Grin Tar 2 - 1 Ambal
525138301603561472,2014-10-23 04:15:02,🔥 Mel Miln 0 - 1 Benyrps
525123201941372928,2014-10-23 03:15:02,🎎 FC Stontiggene 4 - 1 Blistlors
525108103248109568,2014-10-23 02:15:02,⚽ Toc 0 - 1 Jaraved
525093003397193728,2014-10-23 01:15:02,⚽ Ekech Pil 4 - 0 Hens Goanx
525077902078246912,2014-10-23 00:15:01,⚽ Chenir SI 0 - 0 Hievine
525062803477262337,2014-10-22 23:15:02,👯 Shaares 2 - 2 Crancermioca
525047702695211008,2014-10-22 22:15:01,⚽ Cewne 1 - 2 Pebel
525032605679628288,2014-10-22 21:15:02,🚊 Rentollers 2 - 1 FC Stivaldyrfle
525017505199575040,2014-10-22 20:15:02,🚵 Ave 2 - 0 Meinsurd
525002404560117760,2014-10-22 19:15:01,🌙 Loniwns 1 - 2 Bon Tav
524987306462416896,2014-10-22 18:15:02,⚽ Lors FC 1 - 0 Lokusiga
524972203885219841,2014-10-22 17:15:01,🐾 Draute 1 - 1 Duebak
524957107989524480,2014-10-22 16:15:02,😣 Dile 2 - 2 Dnepe
524942008558043136,2014-10-22 15:15:02,⚽ Avaldalgrea 0 - 2 Równellerg
524926907343970304,2014-10-22 14:15:02,🙊 Sax 3 - 1 Burkarna
524911805966348289,2014-10-22 13:15:01,🍉 Had Gin Talia 2 - 0 Jaritar
524896708699095040,2014-10-22 12:15:02,⚽ Reff 3 - 0 Marryiattad
524881608663638016,2014-10-22 11:15:01,⚽ FC Cechardakie 0 - 3 Lin
524866509383163905,2014-10-22 10:15:02,🎅 Anqace 0 - 4 Pistasiv
524851409561600000,2014-10-22 09:15:01,⚽ Tewnoren 2 - 0 Nihn Penaurs FC
524836309157052416,2014-10-22 08:15:01,⚽ FX Macaire 0 - 4 Pal FC
524821212426694657,2014-10-22 07:15:02,⚽ Vigndes 3 - 1 FC Latarg
524806110109519872,2014-10-22 06:15:01,⚽ FC Diohase 1 - 1 FC Makeluel
