id,created_at,text
525474516324343808,2014-10-24 02:31:02,http://t.co/s6UC40hzDR F5 F5 F5 F5 F5 F5 F5 F5 F5 F5 F5
525431234097606656,2014-10-23 23:39:02,Press CTRL-D to add http://t.co/grqmju8CQ1 to your bookmarks.
525430226730647553,2014-10-23 23:35:02,http://t.co/7UdKQvMUgx - check it out on the World Wide Web
525429220718432256,2014-10-23 23:31:02,Cool New Link: http://t.co/k9L1dk5144
525414119865057280,2014-10-23 22:31:02,Connect your Web browser to http://t.co/wAMw7kr59w and enjoy!
525369836688666624,2014-10-23 19:35:04,Have you browsed http://t.co/dVIbBXLM6N lately?
525368821801320448,2014-10-23 19:31:02,http://t.co/zHVf39agZV - check it out on the World Wide Web
525339630301106176,2014-10-23 17:35:02,Connect your Web browser to http://t.co/bwSegXonAd and enjoy!
525338622271451139,2014-10-23 17:31:02,http://t.co/sHdpTjpxK4: finally!
525324530957705216,2014-10-23 16:35:02,"Sure, it's ""under construction,"" but check out the updates to http://t.co/LqrcKjx3CJ"
525323522718302208,2014-10-23 16:31:02,"You know, someone was just talking about http://t.co/LpxE3zGrDa today."
525308424066981888,2014-10-23 15:31:02,Hmmm... I wonder if there's anything new at http://t.co/AWltkWJEoQ
525295337721053184,2014-10-23 14:39:02,I'm going to print out http://t.co/stOdMvZm9B and send it to my nephew.
525294332954558464,2014-10-23 14:35:03,I'm going to print out http://t.co/tCIGW7Maq2 and send it to my nephew.
525293323347841024,2014-10-23 14:31:02,Now you can be automatically notified about http://t.co/0hNPFiMOHK!
525279231425933312,2014-10-23 13:35:02,"Click on the Address field in Netscape, then type: http://t.co/sWMvZMR8Uc"
525278222997790720,2014-10-23 13:31:02,"Click on the Address field in Netscape, then type: http://t.co/dOdEHZtw4b"
525263125076246528,2014-10-23 12:31:02,New and exciting things are happening at http://t.co/C4C0nolcHM!
525249033808666625,2014-10-23 11:35:02,http://t.co/vTg1ARDx3i F5 F5 F5 F5 F5 F5 F5 F5 F5 F5 F5
525248022993973248,2014-10-23 11:31:01,"Sure, it's ""under construction,"" but check out the updates to http://t.co/jPLxi3XXOI"
525232924237783041,2014-10-23 10:31:02,Have you browsed http://t.co/IoQlg14OzU lately?
525217823581560832,2014-10-23 09:31:01,Surf to the newly updated http://t.co/s6UC40hzDR
525203735916863488,2014-10-23 08:35:03,Cool New Link: http://t.co/TltLCcRZNh
525202724481425408,2014-10-23 08:31:01,Press CTRL-D to add http://t.co/o7HFdSIH99 to your bookmarks.
525173535837528065,2014-10-23 06:35:02,Surf to the newly updated http://t.co/k9L1dk5144
525172526482481152,2014-10-23 06:31:02,Dial on-line and explore http://t.co/ycXn4sD1yv
525157427520765953,2014-10-23 05:31:02,Hoping to get back online soon. I hear http://t.co/5R5vhGezCg updated!
525143337112961024,2014-10-23 04:35:02,Word of mouth about http://t.co/JFw1RX1wzq is spreading quickly.
525142328835854336,2014-10-23 04:31:02,http://t.co/RdEeioxODG: finally!
525127229240795136,2014-10-23 03:31:02,Dial on-line and explore http://t.co/fPc93uwqEe
525112129402458112,2014-10-23 02:31:02,"Sure, it's ""under construction,"" but check out the updates to http://t.co/wFLEDEFRD8"
525097035910094848,2014-10-23 01:31:03,"Click on the Address field in Netscape, then type: http://t.co/HbZiTWhQJ8"
525081931000868865,2014-10-23 00:31:02,http://t.co/2enqitN91z - check it out on the World Wide Web
525066831128952832,2014-10-22 23:31:02,"Hold CTRL and click ""Refresh"" to see how http://t.co/bwSegXonAd has changed."
525037641071603713,2014-10-22 21:35:03,Connect your Web browser to http://t.co/tCIGW7Maq2 and enjoy!
525036631334854656,2014-10-22 21:31:02,I'm going to print out http://t.co/57dq9qyB8Q and send it to my nephew.
525021530313744385,2014-10-22 20:31:01,Now you can be automatically notified about http://t.co/sWMvZMR8Uc!
525006431557550081,2014-10-22 19:31:02,Download http://t.co/C4C0nolcHM today!
524993344553111553,2014-10-22 18:39:01,Hmmm... I wonder if there's anything new at http://t.co/0uYcJzk1pf
524992340784844800,2014-10-22 18:35:02,"Click on the Address field in Netscape, then type: http://t.co/stOdMvZm9B"
524991340766298112,2014-10-22 18:31:04,http://t.co/Nvjl7Py4PH is a new take on an old classic!
524977240791326720,2014-10-22 17:35:02,Dial on-line and explore http://t.co/IoQlg14OzU
524976232459689985,2014-10-22 17:31:02,"Sure, it's ""under construction,"" but check out the updates to http://t.co/Yf8JstoTqN"
524963146466074624,2014-10-22 16:39:02,"You know, someone was just talking about http://t.co/s6UC40hzDR today."
524962144375562240,2014-10-22 16:35:03,I'm going to print out http://t.co/capKzFJu75 and send it to my nephew.
524961135569936384,2014-10-22 16:31:02,Surf to the newly updated http://t.co/RJAMFg2Dyo
524947043195031552,2014-10-22 15:35:02,Press CTRL-D to add http://t.co/L1Ugjli2Kw to your bookmarks.
524946034741772289,2014-10-22 15:31:02,New and exciting things are happening at http://t.co/o7HFdSIH99!
524930935498997761,2014-10-22 14:31:02,Cool New Link: http://t.co/68Df7TK9JM
524918855983198208,2014-10-22 13:43:02,Hmmm... I wonder if there's anything new at http://t.co/2Rwqigr7Rn
524917850809851904,2014-10-22 13:39:02,Download http://t.co/k9L1dk5144 today!
524916844273356800,2014-10-22 13:35:02,"Click on the Address field in Netscape, then type: http://t.co/bkaTi9K8xF"
524915835228659712,2014-10-22 13:31:02,Connect your Web browser to http://t.co/ycXn4sD1yv and enjoy!
524900736036241409,2014-10-22 12:31:02,New and exciting things are happening at http://t.co/LqrcKjx3CJ!
524885638412525569,2014-10-22 11:31:02,Dial on-line and explore http://t.co/jPLxi3XXOI
524871545802747904,2014-10-22 10:35:02,http://t.co/l7euWXONsb is a new take on an old classic!
524870538683240448,2014-10-22 10:31:02,Surf to the newly updated http://t.co/vTg1ARDx3i
524856444202799104,2014-10-22 09:35:02,I'm going to print out http://t.co/8TBjhY3IC8 and send it to my nephew.
524855435971813376,2014-10-22 09:31:01,Dial on-line and explore http://t.co/wFLEDEFRD8
524840338352259073,2014-10-22 08:31:02,Have you browsed http://t.co/HbZiTWhQJ8 lately?
524825240774639616,2014-10-22 07:31:02,"Hold CTRL and click ""Refresh"" to see how http://t.co/GzCMsiYEfx has changed."
524814165375205376,2014-10-22 06:47:02,Dial on-line and explore http://t.co/368BNklXkz
524813158910009344,2014-10-22 06:43:02,http://t.co/D1ypWFh9v7: finally!
524812153505976320,2014-10-22 06:39:02,"You know, someone was just talking about http://t.co/grqmju8CQ1 today."
524811147636375552,2014-10-22 06:35:02,http://t.co/iwlm25u0ha is a new take on an old classic!
524810137660555265,2014-10-22 06:31:01,http://t.co/bwSegXonAd is a new take on an old classic!
524779942345977856,2014-10-22 04:31:02,http://t.co/Ly7rusWWSn: finally!
524767859671838721,2014-10-22 03:43:02,Word of mouth about http://t.co/tCIGW7Maq2 is spreading quickly.
524766855270268928,2014-10-22 03:39:02,Hmmm... I wonder if there's anything new at http://t.co/dVIbBXLM6N
