id,created_at,text
524404641447288832,2014-10-21 03:39:44,WE'VE BEEN UNTAGGED http://t.co/2LYRnMjkbd
524404399867969536,2014-10-21 03:38:46,@lbourgie @dunndunndunn @Nytzschy OK LET'S DO THIS BY HAND UNTAG LBOURGIE U FUCKERS
522626772098367488,2014-10-16 05:55:07,hi @CallMeTibbs93 @yume_karasu untag @paulbensonsucks (we're in beta ty godbless)
522544511122407425,2014-10-16 00:28:14,YO @moondepot @Ketamine_Stalin @chelsesaurusrex @MALTSCHLITZMANN untag @malwaexpress (we're in beta ty godbless)
522510260024905728,2014-10-15 22:12:08,hello @malwaexpress @gerbshanarb @DigitalSnackman untag @chump_dick (thanks for supporting apps)
522509903173533699,2014-10-15 22:10:43,please @chump_dick @gerbshanarb @DigitalSnackman untag @malwaexpress (website and ipo coming soon)
522276441116147712,2014-10-15 06:43:01,um hey @TerrinaMajnoona @Rashida_Must @mirahwood @oc_f1fan @djkilllist @QuestyNM @trash_ebooks @rimahjaber untag @curmopolopolous
522249284096634881,2014-10-15 04:55:06,YO @TheIvyClover1 @gracedragoon @childfreediva @DisgruntleGamer @clairlemon @realgirlzpage @SandyTweetAngel untag @radiatastories
522249181415882753,2014-10-15 04:54:42,please @gracedragoon @childfreediva @DisgruntleGamer @clairlemon @realgirlzpage @SandyTweetAngel untag @TheIvyClover1
522141215022931968,2014-10-14 21:45:41,pls @alecpuente @ModernDayGamer1 @UWeavile @MatrixSoldierDA @MomsAgainstGam untag @TheNegaVictini
522114108632887296,2014-10-14 19:57:58,pls @michael_raphone @twerkrobot @puddingpantz @dukelongboard @fecklesswaster @UrplePingo untag @LuckyStubbs (we're in beta ty godbless)
522114038197940224,2014-10-14 19:57:41,hello @michael_raphone @twerkrobot @LuckyStubbs @puddingpantz @dukelongboard @fecklesswaster untag @UrplePingo
522113936913883136,2014-10-14 19:57:17,um hey @twerkrobot @LuckyStubbs @puddingpantz @dukelongboard @fecklesswaster @UrplePingo untag @michael_raphone
522113553701273602,2014-10-14 19:55:46,attn @twerkrobot @LuckyStubbs @puddingpantz @dukelongboard @fecklesswaster @UrplePingo untag @ughHugs (thanks for supporting apps)
522113463204986880,2014-10-14 19:55:24,hello @LuckyStubbs @twerkrobot @dukelongboard @fecklesswaster @UrplePingo untag @puddingpantz
522113435874910208,2014-10-14 19:55:18,attn @ughHugs @LuckyStubbs @puddingpantz @dukelongboard @fecklesswaster @UrplePingo untag @twerkrobot (thanks for supporting apps)
522113336629284865,2014-10-14 19:54:54,hi @LuckyStubbs @twerkrobot @puddingpantz @dukelongboard @fecklesswaster untag @UrplePingo (website and ipo coming soon)
522113269998571520,2014-10-14 19:54:38,um hey @twerkrobot @LuckyStubbs @puddingpantz @dukelongboard @fecklesswaster @UrplePingo untag @ughHugs (thanks for supporting apps)
522113131800444929,2014-10-14 19:54:05,hello @twerkrobot @LuckyStubbs @puddingpantz @fecklesswaster @UrplePingo untag @dukelongboard (we're in beta ty godbless)
522113087215009792,2014-10-14 19:53:55,YO @twerkrobot @puddingpantz @dukelongboard @fecklesswaster @UrplePingo untag @LuckyStubbs (website and ipo coming soon)
522113020781404161,2014-10-14 19:53:39,YO @LuckyStubbs @puddingpantz @dukelongboard @fecklesswaster @UrplePingo untag @twerkrobot (we're in beta ty godbless)
522112936572358656,2014-10-14 19:53:19,please @puddingpantz @dukelongboard @fecklesswaster @twerkrobot @UrplePingo untag @LuckyStubbs (thanks for supporting apps)
522112774768713728,2014-10-14 19:52:40,pls @dukelongboard @LuckyStubbs @fecklesswaster @twerkrobot @UrplePingo untag @puddingpantz (thanks for supporting apps)
522112717201887232,2014-10-14 19:52:26,pls @puddingpantz @dukelongboard @LuckyStubbs @fecklesswaster @UrplePingo untag @twerkrobot (website and ipo coming soon)
522112538373529600,2014-10-14 19:51:44,hi @puddingpantz @dukelongboard @LuckyStubbs @fecklesswaster @twerkrobot untag @UrplePingo (send doge DP8u4dBPi15mFV5jE8vRS7pNBJFqhZ3N25)
522111923002023936,2014-10-14 19:49:17,please @UrplePingo @dukelongboard @fecklesswaster @puddingpantz @LuckyStubbs untag @twerkrobot (we're in beta ty godbless)
522111679447179266,2014-10-14 19:48:19,YO @UrplePingo @dukelongboard @fecklesswaster @twerkrobot @puddingpantz untag @LuckyStubbs (thanks for supporting apps)
522111521628119040,2014-10-14 19:47:41,pls @UrplePingo @dukelongboard @LuckyStubbs @fecklesswaster @twerkrobot untag @puddingpantz (website and ipo coming soon)
522111396822392833,2014-10-14 19:47:12,attn @UrplePingo @dukelongboard @puddingpantz @fecklesswaster @twerkrobot untag @LuckyStubbs (website and ipo coming soon)
522111161572282368,2014-10-14 19:46:15,hi @UrplePingo @dukelongboard @puddingpantz @LuckyStubbs @fecklesswaster untag @twerkrobot (thanks for supporting apps)
521873097817722880,2014-10-14 04:00:17,pls @gerbshanarb @MPRodney @IronyGuy6669 @palsux untag @HairySkeletor (we're in beta ty godbless)
521872443372498944,2014-10-14 03:57:41,pls @HairySkeletor @MPRodney @IronyGuy6669 @palsux untag @gerbshanarb (we're in beta ty godbless)
521816696643141637,2014-10-14 00:16:10,um hey @andymoney69 @Raymond_Bray @longenhagen @AdamBaldwin untag @FakeRobCharry (thanks for supporting apps)
521815816753647616,2014-10-14 00:12:40,YO @gritty_grinder @davidsonrva @andymoney69 @Raymond_Bray @AdamBaldwin untag @paulbensonsucks (we're in beta ty godbless)
521815775695626240,2014-10-14 00:12:30,um hey @gritty_grinder @davidsonrva @paulbensonsucks @Raymond_Bray @AdamBaldwin untag @andymoney69 (website and ipo coming soon)
521815739033206784,2014-10-14 00:12:21,please @gritty_grinder @davidsonrva @andymoney69 @paulbensonsucks @AdamBaldwin untag @Raymond_Bray
521815653817532416,2014-10-14 00:12:01,hi @davidsonrva @andymoney69 @paulbensonsucks @Raymond_Bray @AdamBaldwin untag @gritty_grinder (we're in beta ty godbless)
521815436892311553,2014-10-14 00:11:09,pls @davidsonrva @Raymond_Bray @AdamBaldwin @andymoney69 untag @paulbensonsucks (thanks for supporting apps)
