id,created_at,text
526538861451567104,2014-10-27 01:00:21,MAP10: Pharoas Tomb
526402994183487488,2014-10-26 16:00:28,MAP02: Rooftop Warzone
526176473078460416,2014-10-26 01:00:21,MAP30: The Lair
526040587976196097,2014-10-25 16:00:24,E3M6: Depths
525814088023044096,2014-10-25 01:00:22,MAP03: Inter-Base
525678187687051265,2014-10-24 16:00:21,MAP12: The Waterway
525451699704836096,2014-10-24 01:00:22,E2M1: Deimos Anomaly
525315823183728642,2014-10-23 16:00:26,MAP16: Bootcamp
525089321078890497,2014-10-23 01:00:24,E1M2: Nuclear Plant
524953418356371457,2014-10-22 16:00:22,MAP08: Woodhead
524726947566219266,2014-10-22 01:00:27,MAP08: Worst Case Scenario
524591025797337089,2014-10-21 16:00:21,MAP07: Temple of Isis
524364551010004992,2014-10-21 01:00:25,Hub 3: Heresiarch's Seminary
524228635809431554,2014-10-20 16:00:21,E5M5: Hydratyr
524002147910688769,2014-10-20 01:00:22,E2M6: Shadow Dimension
523866251190210561,2014-10-19 16:00:21,MAP11: Feeding Frenzy
523639755200679937,2014-10-19 01:00:21,MAP13: Downtown
523503868336803841,2014-10-18 16:00:23,MAP20: U.S. Mustard Company
523277369566441472,2014-10-18 01:00:21,E2M3: The Blazed
523141470832717825,2014-10-17 16:00:20,MAP15: Gates to Hell
522914979423346688,2014-10-17 01:00:21,MAP17: Transfer Base
522779089770274817,2014-10-16 16:00:22,MAP20: Fear Of The Dark
522552597136154624,2014-10-16 01:00:22,MAP20: Refinery
522416708389437440,2014-10-15 16:00:23,MAP09: Flow
522190207450234880,2014-10-15 01:00:21,E6M5: Aiberdeen Doocot
522054314101977088,2014-10-14 16:00:22,E1M6: The Cathedral
521827816942227456,2014-10-14 01:00:21,MAP03: Astral Deformity
521691925636608001,2014-10-13 16:00:22,MAP32: Dances with Demons
521465427197571073,2014-10-13 01:00:20,E2M7: Spawning Vats
521329535237632000,2014-10-12 16:00:21,E8M1: Chaos Diamond Mine
521103045178847232,2014-10-12 01:00:22,MAP03: Cathedral
520967152572981248,2014-10-11 16:00:22,MAP30: The Gatewatcher
