id,created_at,text
503517881737674752,2014-08-24 12:23:12,Canadian_Criminal_Sentencing/Cases/Break_and_Enter http://t.co/XE2QVq7wLl
503454856506793984,2014-08-24 08:12:46,Chess_Opening_Theory/1._e4/1...c6/2._d4/2...d5/3._Nc3/3...dxe4 http://t.co/Z0EWCD4Gl7
503438928893214720,2014-08-24 07:09:28,ERP_Internals/Modules/Cash_Management/Functions/Maintain_Module_Information http://t.co/wK9R2y1VEX
503423759617773568,2014-08-24 06:09:12,Biblical_Studies/New_Testament_Commentaries/The_Gospel_of_Matthew/Chapter_7 http://t.co/tSsvYwLZJw
503410135092690945,2014-08-24 05:15:03,Sport_Innovation/Active_Network/Race_for_the_Cure http://t.co/owhm151msl
503393557504618499,2014-08-24 04:09:11,MINC/Reference/MINC2.0_Application_Programmers_Interface http://t.co/FAPFv8MYSE
503378295145373696,2014-08-24 03:08:32,Ba_Zi/House_of_Life http://t.co/xX1KEuP7gz
503363549306290178,2014-08-24 02:09:56,MATLAB_Programming/Psychtoolbox/Windows_only_scripts http://t.co/rbQHdBHcqw
503348123465678848,2014-08-24 01:08:39,Hebrew_Roots/New_Moon/Service http://t.co/eakaP9Bx9n
503333131358060544,2014-08-24 00:09:04,Chess_Opening_Theory/1._e4/1...c5/2._d4 http://t.co/Lc7rjdiKAl
503317934807453696,2014-08-23 23:08:41,SAS/Duration_Analysis http://t.co/KCvxSFLlvc
503303712258162688,2014-08-23 22:12:10,ERP_Internals/Data_Tables/Bondholder/Bondholder http://t.co/YzzUXuWvBA
503287948360814592,2014-08-23 21:09:32,Electronics_Handbook/Devices/Filter/Tuned_Resonance_Selected_Band-reject http://t.co/6jP35Sthck
503273003388780544,2014-08-23 20:10:09,Lingua_Franca_Nova/6 http://t.co/Hgay9QkLO5
503257565476945920,2014-08-23 19:08:48,Cookbook:Duck_Fried_Rice http://t.co/74yZVuDgpb
503243902535860224,2014-08-23 18:14:30,Cookbook:Dijon_Mustard http://t.co/nd7pz92z2e
503227822404800512,2014-08-23 17:10:37,Chess_Opening_Theory/1._e4/1...d6/2._d4/2...g6 http://t.co/FrnJgNLdNw
503212262560391168,2014-08-23 16:08:47,Healthy_eating_habits/My_page_name http://t.co/7PFr1HdCS1
