id,created_at,text
525466952798842881,2014-10-24 02:00:58,'This is the moment!
525451852343934976,2014-10-24 01:00:58,"Yes, they were sort of wrong about Snake."
525436754183344128,2014-10-24 00:00:59,"Chapter 15 Outside, Harry's class awaits their first lesson in broomstickers."
525421654907047937,2014-10-23 23:00:59,"'Fifty points deducted for each of you! It is forbidden to be out at night. All of you have detention, even you, Mouthoil!'"
525406552694726657,2014-10-23 22:00:58,She's putting a spell on Harry! Ahh! Something must be done! Ronnie the Bear curses that Snake a good one as Harmony creeps away.
525391454383128577,2014-10-23 21:00:58,"A bar? Hagar the Horrible, you'd better know what you're getting Harry into. Of course, the barkeep knows Hagar's bar-darkening frame."
525361254987493376,2014-10-23 19:00:58,The game is tied at
525346154515791874,2014-10-23 18:00:58,"The potions class's door is thrown dramatically open, and in dances that black hole of a woman, with a scar-aching glare."
525331056657195008,2014-10-23 17:00:58,"But lo-ho-ho, dear readers! It is a cloak, a cloak indeed, a cloak with a cloaking device! An Invisibility Cloak!"
525315956554629120,2014-10-23 16:00:58,'You will be schooled here.'
525300858750529536,2014-10-23 15:00:59,"Wood is the captain of the Cribbage team, and Harry sees him as a Greek statue, an Adonis in witches' clothing."
525285756152320001,2014-10-23 14:00:58,"'I was in here, crying like an idiot, and these badass new gods came in and saved me."
525270658226610177,2014-10-23 13:00:58,"Chapter 25 Later that night, Dazzler leads the four kids out to their duty of detention."
525255559264862208,2014-10-23 12:00:58,"You are meant to end when your share of that blood turns brown upon the rocks of glory! You and I shall drink to-night, Harry."
525240459854352384,2014-10-23 11:00:58,"'Ah, fuck this', he says, and he all but punches Mouthoil right in the head."
525225361316261888,2014-10-23 10:00:59,The food service wench appears.
525210262140641281,2014-10-23 09:00:59,'Woo-hoo!' shouts Harry. 'About time he burst that Cheeto! He's been trying to birth it for years! Hm hm hm!'
525195164193931265,2014-10-23 08:00:59,Snake is seemingly on the edge of her seat.
525180062417821696,2014-10-23 07:00:58,"'Well, we fucking go to school here.'"
525164959853211649,2014-10-23 06:00:58,"After the story's confusing conclusion, who should appear in the window but that fucking panda cub Mouthoil! After his fucking ass!"
525149863319973888,2014-10-23 05:00:58,"Hagar, after a while of tracking, kneels down and knowingly dips his finger into a shimmery pool of unicorn urine."
525134763792035840,2014-10-23 04:00:58,"If you have hair here, it is going to get rustled awesomely."
525119663983038464,2014-10-23 03:00:58,Does it know that it can live on the sustenance of such a warrior for years and not need worry about eating or drinking?
525104565272993792,2014-10-23 02:00:58,"P., he chickens out and vanishes, leaving Harry alone to deal with this shade."
525089463920508928,2014-10-23 01:00:58,'Willikers! The broom I wanted way back in Calgon Alley! The Necrobenimbloalaphasagoso! Who could have done this?'
525074365327888384,2014-10-23 00:00:58,"'This is really weird, man', he says, and Hagar nods, like he knows what a tiggle feels like."
525059265078497280,2014-10-22 23:00:58,Christmas morning.
525044164564893696,2014-10-22 22:00:58,Harry just hopes he can pound a few cold ones.
525029067280908288,2014-10-22 21:00:58,'I am Harry Fucking Potter!'
525013968826671104,2014-10-22 20:00:59,"If it wasn't for them, I'd be in that troll's stomach, for sure."
524983768508276737,2014-10-22 18:00:58,to Harry's aid jumps a badass man-horse who is kicking and threatening wildly at this prince of blood-lovers.
524968667856273409,2014-10-22 17:00:58,"Chapter 6 'I'm broke, Hagar. What do I do? I want that broom back there.'"
524953570328997888,2014-10-22 16:00:58,All these fucking kids and teachers looking at him like he's a fucking television!
524938471035924480,2014-10-22 15:00:59,Yes! The universe sighs its magical sigh.
524923369712803840,2014-10-22 14:00:58,"She says, 'Are you going home for Christmas? I'm going home. My family's got money.'"
524908271208267776,2014-10-22 13:00:58,"Chapter 30 As Harry walks down into his fate, he comes to realise that this is the moment beyond games, the moment he has been waiting for."
524893172598845440,2014-10-22 12:00:59,"The air, then, miraculously, becomes thinner, and Harry's forehead aches."
524878069807726592,2014-10-22 11:00:58,"She seems to think that Ronnie can't do a simple Levitation Spell, and makes a big to-do about her quick-witted abilities."
524862970929876992,2014-10-22 10:00:58,He holds up that Snitch and bellows:
524847874296012803,2014-10-22 09:00:59,"But Jeepers! Ed Vanders rushes into Harry's view like a scarecrow's carcass, a dreadful visage, indeed."
524832774336032768,2014-10-22 08:00:58,"Upfish, in a foolishly loving gesture, tries to keep our heroes from tasting victory to-night."
