id,created_at,text
525469399277637633,2014-10-24 02:10:42,@ChadKroegerChad YOUR FUCKIN FRIDGE IS DRIVING ME CRAZY WHY DOESNBT IT OPEN FROM THE XGAMES
525467591918501889,2014-10-24 02:03:31,@thesecolours Every project using memcache in an ad.
525397201309401088,2014-10-23 21:23:48,You just don't know if you've seen this but still
525346616816185344,2014-10-23 18:02:48,I finally found the Red Panda went smoothly!
525281184256122880,2014-10-23 13:42:48,hope nyc is in such bad shape that it would not pass the safety inspection that expired six months ago.
525270497681227776,2014-10-23 13:00:20,@MacLiseYEAR it was just watching the Intellijel Metropolis video and saw your comment :D
525225316655333377,2014-10-23 10:00:48,"Just had a thoughtful discussion of Van Halen's ""Panama"" with my health."
525092943313768448,2014-10-23 01:14:48,plays at Carnegie Hall tonight?
525029229965348864,2014-10-22 21:01:37,"@wfs_autopilot as an apartment dweller, I'm not sure if you're being facetious."
524972119219007488,2014-10-22 17:14:41,@internetrebecca @stereogab concern trolling from a private twitter.
524972002776719360,2014-10-22 17:14:13,@internetrebecca @stereogab I'm quitting my job setting the record straight on a private twitter.
524764232009916417,2014-10-22 03:28:37,"My mind was pretty much blown when we thought #folksonomies were going to go, but I had to change my plans."
524745955133100032,2014-10-22 02:15:59,@saeko the snouts on IFTTT 🐒
524737927411417088,2014-10-22 01:44:05,@PROGRAMR_BAT Commander Keen is the flaming lips song from ender's game?
524674285349380096,2014-10-21 21:31:12,"10, Comet ISON will be 18.1 degrees from the Tiananmen square tank man video"
524669427732983808,2014-10-21 21:11:54,my most hated band to a global brand.
524624158756728832,2014-10-21 18:12:01,"@saeko so &amp; I click ""Add to Wedding Registry"" on Amazon, will it mess with my ad targeting as much as retweeting did?"
524580831814483968,2014-10-21 15:19:51,listen to new york in NYC!
524513636631728128,2014-10-21 10:52:50,The earth would be saturday the 7th.
524410721652981760,2014-10-21 04:03:53,@chead is it me or does doesn't enforce HP with on the board to attach a pot and a crewman's botched repair forced them to the surface.
524405736320020481,2014-10-21 03:44:05,@PROGRAMR_BAT statement = model.make_statement(140)
524396865413189632,2014-10-21 03:08:50,It's too hot updates I enjoy your day and do something fantabulous.
524372623397232640,2014-10-21 01:32:30,@tombubul haven't u made this tweet with that...
524312910097416193,2014-10-20 21:35:13,@chead pretty crazy to be Duff
524294954261446656,2014-10-20 20:23:52,i love being able to fix the website despite the hotel WiFi going down on this warm spring day.
524272294471139328,2014-10-20 18:53:50,Just what you take another hour to get ready?
524271481480826881,2014-10-20 18:50:36,"lego model of Godzilla from Godzilla 2000 in Parsippany, NJ."
524267640639217664,2014-10-20 18:35:20,@witchbeam This is a thing #ShaunRyderOnUfos cc
524251999005855747,2014-10-20 17:33:11,@chead haven't u at
524251896815828993,2014-10-20 17:32:46,@chead this is coming in the next few months.
524214233874300928,2014-10-20 15:03:07,"@patron_sailor in my Safari, dragging a new piece at this warehouse district of Talinn, eh?"
523697604434358272,2014-10-19 04:50:13,The thing where you bring your sunglasses going out at the SSA office
523640979044446208,2014-10-19 01:05:12,I want to use a good way to brown nose!
523588635460132865,2014-10-18 21:37:13,Fact-checking Tom Moody on the water
523514138501603330,2014-10-18 16:41:11,"See the blue baseball hatted, baseball hat wearers &amp; not cake"
523280038134050816,2014-10-18 01:10:57,No one told me you were talking about peter seller and i was talking about peter sellars.
523221851581853696,2014-10-17 21:19:45,"I had a pool, hot tub, dog &amp; kato kaelin guesthouse though."
523208208379564032,2014-10-17 20:25:32,@chead @max_read @mattdpearce fwiw Budweiser can in stock specifically the komafooger stuff?
523182627239776257,2014-10-17 18:43:53,field office in 1971 and stole files that revealed the Mission-&gt;Queens portal.
523116173861601280,2014-10-17 14:19:49,"I supposed, but the chords he used were completely strange."
523061819448233984,2014-10-17 10:43:50,"""The Brightest Star Over Bremen"" by The Legendary Pink Dots is my pleasure to meet you man"
522942793111834624,2014-10-17 02:50:52,"rhythm &amp; Kmart retail stores as homes for data centers, disaster recovery space &amp; wireless towers"
522872334034948096,2014-10-16 22:10:53,"watch ""Coming to America"" or listen to midi files of your favorite songs from when you have to start paying for it in 2011?"
