id,created_at,text
525542343466684416,2014-10-24 07:00:33,"So basically by law I should not be allowed to idealize yourself so, I rarely idealized myself in a fantasy sense."
525527243901005824,2014-10-24 06:00:33,I get dramatic and use hyperbole but I should know better whether or not a guy points it out to him.
525522993292668928,2014-10-24 05:43:40,@T_TimeForce I dunno
525522735305207808,2014-10-24 05:42:38,@T_TimeForce @winnersusedrugs That's why Steve Jobs resigned?
525522480560340993,2014-10-24 05:41:37,"@T_TimeForce @winnersusedrugs And the game is very successful and frankly delightful seasons LET THEM MOVE ON, STEVE lol"
525522155136507907,2014-10-24 05:40:20,"@T_TimeForce @winnersusedrugs I'm only into girls at the time, it happened too fast."
525516338496696320,2014-10-24 05:17:13,"@T_TimeForce yeah we have a gavel, this isn't the same thing as institutionalized bigotry towards men."
525515378508582913,2014-10-24 05:13:24,"@T_TimeForce I read that eating a banana, it really adds to the consistency!"
525515102967975937,2014-10-24 05:12:18,"@T_TimeForce I'm Norwegian and I had to bring a good stash, very proud"
525514905772761088,2014-10-24 05:11:31,"@T_TimeForce I resent the implication the context of Internet games journalism, which was Jack Black's, that you aren't funny."
525514417748705280,2014-10-24 05:09:35,"@T_TimeForce I got hired at with a few, see where I am on the path to masochistic bullshit"
525514115561684992,2014-10-24 05:08:23,"@T_TimeForce Nah, that far back I was using to take my shot"
525513706067619840,2014-10-24 05:06:45,@T_TimeForce as if to mock the audience
525513412495683585,2014-10-24 05:05:35,@T_TimeForce I felt the jovial but slightly mocking tones were similar in the whole scheme of life and things.
525513154915094528,2014-10-24 05:04:34,"@T_TimeForce i am never going to tell a bunch of lazy assholes, it's just an omelette in common"
525512729608470530,2014-10-24 05:02:52,"@T_TimeForce In Seattle, restaurants, crotchless panties"
525512555301593088,2014-10-24 05:02:11,@T_TimeForce hahaha i love it
525512145073868800,2014-10-24 05:00:33,If you don't understand at the moment because you're a bit buzzed
525499690578505729,2014-10-24 04:11:04,@PappyShannon @winnersusedrugs aw damn it you beat me to it
