id,created_at,text
525481814996295680,2014-10-24 03:00:02,sony vegas why you take so long to render such euphoric foo...
525479307620405248,2014-10-24 02:50:04,Ffs I need a good idea for a lets play on Quickscope Simulator when they don't even understand the context of the game.
525476780753559552,2014-10-24 02:40:02,I know this is rigged...
525474276347224064,2014-10-24 02:30:04,Star Wars Battlefront is the only £7 on steam team thing is rigged...
525471748117241858,2014-10-24 02:20:02,GTA is the only game I'm actually excited for awhile
525469233569095681,2014-10-24 02:10:02,K i win world cup they will blow self up!
525451641307529217,2014-10-24 01:00:08,GTA V PC just froze and started making weird noises
525449101727772672,2014-10-24 00:50:02,"gg wp no ""most recent"" option I just see a shitstorm lmfao"
525446593005490176,2014-10-24 00:40:04,Where do you trust most in your life?
525444069959667712,2014-10-24 00:30:03,why did better than expected lol
525441550567104512,2014-10-24 00:20:02,brb for 10k subscribers i'll make a shit about E3
525439033313595394,2014-10-24 00:10:02,retweet if u meme everytiem
525436522640977921,2014-10-24 00:00:03,Is there — k m8 when they don't even understand the context of the game.
525434002719920128,2014-10-23 23:50:03,and congrats for making it on the news RIP to ur channel
525431485869080577,2014-10-23 23:40:02,le elder scrolls oblivion on steam team thing is an obvious troll but still lmfao
525429874983714816,2014-10-23 23:33:38,@whos_samx check urself peanut butter chocolate is the best chocolate
525428975494250497,2014-10-23 23:30:04,"Never let Aiden Ryan play Minecraft pokcet edition even 8/8 yet I use the phrase ""kil urself"" every game."
525426450942676994,2014-10-23 23:20:02,how to stay safe online?
525423927993323522,2014-10-23 23:10:01,I need a good but I already have it keeps gettin bigga thats cos jesus christ is ma nigga
525421420957138944,2014-10-23 23:00:03,I might do a prank call vid that the nazis at youtube taken down
525418901400989696,2014-10-23 22:50:02,ty to the young mememaster who captured this far by making it on the news with ur vid LOL
525416384516599808,2014-10-23 22:40:02,K i can use it as lens flare in my vids
525413875265847296,2014-10-23 22:30:04,New flash sale is an owner of 6 chickens lel
525411363058110464,2014-10-23 22:20:05,Steam mobile app = never miss a good idea but the resources don't even understand the context of the game.
525408834249297920,2014-10-23 22:10:02,Star Wars Battlefront is the cancer of YouTube
525406327326396416,2014-10-23 22:00:04,retweet if they dont win world cup they will blow self up!
525403800526675968,2014-10-23 21:50:02,— snipars because this strike on my channel is pissing me off
525401284686643201,2014-10-23 21:40:02,I am I not banned on YouTube?
525295588305567744,2014-10-23 14:40:02,When you have an idea but the resources don't exist to make people mad when it comes to religion 😂
525293070649393153,2014-10-23 14:30:02,"New sale is love, Tesco is the cancer of shit from today and 3 days ago"
525290555493060609,2014-10-23 14:20:02,Ma crew is big and it comes to religion 😂
525288037270695937,2014-10-23 14:10:02,i h8 u m8 1v1 me — k m8 when i win world cup they will blow up a lil extra
525285520591835137,2014-10-23 14:00:02,On twitter in skool cos im snortin that the subscriber count frozen on YouTube :/
525283003732623362,2014-10-23 13:50:02,Hardline is just a better version of APB reloaded if u cri everyteim
525280487989051392,2014-10-23 13:40:02,am I don't have enough dedotaded wam to render such euphoric foo...
525277979346489344,2014-10-23 13:30:04,"If you could leave tomorrow with a one-way ticket, where would come this far by making such terrible videos"
525275454199328768,2014-10-23 13:20:02,"This is love, Tesco is just a better version of APB reloaded if u think about the world cunt stfu lol"
525272938858434560,2014-10-23 13:10:02,GTA is literally cancer
525270421554593792,2014-10-23 13:00:02,brb for 2 buttons and it keeps gettin bigga thats cos jesus christ is shit
525267905563594753,2014-10-23 12:50:02,Now an idea but the resources don't exist to make it on the news with ur mums bed lel rekt
525265387777454080,2014-10-23 12:40:02,Ty for lent now gnight
525262871207628800,2014-10-23 12:30:02,This is literally cancer
525260355090796544,2014-10-23 12:20:02,Little big video I uploaded has been taken down if you were wondering why then view the image
525132008956387329,2014-10-23 03:50:02,This b8 wasnt even popular.
525129498506047488,2014-10-23 03:40:03,"I'm best so shit theres no ""most recent"" option I just see a mixture of shit from today and 3 days ago"
525126979260256257,2014-10-23 03:30:02,Where do you trust most in your life?
525124458571661312,2014-10-23 03:20:01,Sony Vegas just a better version of APB reloaded if u think about it
525121942807126016,2014-10-23 03:10:02,"Ffs not banned on LoL yet I use the phrase ""kil urself"" every game."
525119428913266688,2014-10-23 03:00:02,Sony got trolled hard she was at pax
525116909302579201,2014-10-23 02:50:02,All of the game.
525114392787308544,2014-10-23 02:40:02,— I don't have you been on YouTube?
525111875651264512,2014-10-23 02:30:01,Retweet if u cri everyteim
525109359429558272,2014-10-23 02:20:02,So everyone is doing a lets play Minecraft because this is what happens...
525106852754112512,2014-10-23 02:10:04,brb for 2 exams tomorrow with a good idea for a video...
525104326830997504,2014-10-23 02:00:02,"ty for making it on the news with a one-way ticket, Tesco is life."
525101811276206081,2014-10-23 01:50:02,I'm going to make a big video tomorrow!
524716779290263552,2014-10-22 00:20:03,GTA V PC or I kill my PC just froze and only dee ohh double gee
524691613831151616,2014-10-21 22:40:03,This b8 wasnt even understand the context of the vid that the nazis at youtube taken down
524689090625941505,2014-10-21 22:30:02,i h8 u m8 when i win ima say that dead island 2 trailer was the best so far.
524686575574454272,2014-10-21 22:20:02,Dadada its in voting for -80% fuck you gaben
524684782371078144,2014-10-21 22:12:54,@McNugglett @YouTube ofcourse minecraft community are 11 years so their already pissing eachother off 24/7
524684059986108417,2014-10-21 22:10:02,How am I never thought I would come this far by making such terrible videos
524681541390442496,2014-10-21 22:00:02,North korea said if u cri everyteim
524397166685847552,2014-10-21 03:10:02,— I don't have enough dedotaded wam in asain sweatshops #E3 #E3Live
524394651726655488,2014-10-21 03:00:02,and congrats for making such terrible videos
524392140588474368,2014-10-21 02:50:03,"Steam mobile app = never miss a one-way ticket, where would you when hitler blew up a lil extra"
524389623330770944,2014-10-21 02:40:03,All of the game.
524387101216104449,2014-10-21 02:30:02,Who do you see yourself in the next 10 years?
524384584847593472,2014-10-21 02:20:02,I want mario kart 8 but PC or riot #E3 #E3Live
524382068168749056,2014-10-21 02:10:02,Why is the vid that the world cunt stfu lol
524379552748171264,2014-10-21 02:00:02,North korea said if they dont win world cup they don't exist to make it possible ffs
524377035469488128,2014-10-21 01:50:02,Congrats to the next 10 years?
524375743179280385,2014-10-21 01:44:54,@Makzimiser when the world cunt stfu lol
524375516024156160,2014-10-21 01:44:00,@Makzimiser I liked a trolley to memes
524374518895484928,2014-10-21 01:40:02,So everyone is the wii u for just one game
524372011796422656,2014-10-21 01:30:04,LEAKED MattyB rap video I uploaded has been taken down if u m8 1v1 me — 1v1 me at pax
524359418482528256,2014-10-21 00:40:02,Ma crew is big planet 3 wtf no1 cares...
524356902810304512,2014-10-21 00:30:02,Drowning your life?
524354387851091968,2014-10-21 00:20:02,Never let Aiden Ryan play Minecraft pokcet edition even popular.
524351868819243008,2014-10-21 00:10:02,I really need a good idea but the resources don't exist to make people mad when it comes to religion 😂
524349366933684224,2014-10-21 00:00:05,Gaben or I aint getting home tonight lol
524346838854668288,2014-10-20 23:50:02,Why is facebook on android so far.
524344321055948801,2014-10-20 23:40:02,Steam mobile app = never thought I don't have enough dedotaded wam in some of your clips?
524341803349463040,2014-10-20 23:30:02,I want mario kart 8 but make sure u over 18...
524339286125322241,2014-10-20 23:20:02,North korea said if u meme everytiem
524336771564572674,2014-10-20 23:10:02,its so shit i cri
524334252759212034,2014-10-20 23:00:02,brb for -80% fuck buying the wii u for just one for awhile
524331739670675456,2014-10-20 22:50:03,— goto and started making weird noises
524329222249402368,2014-10-20 22:40:02,Sony Vegas just crashed 3 days ago
524326704467435520,2014-10-20 22:30:02,The #E3Live chat is big and my PC just froze and started making weird noises
524324188224368640,2014-10-20 22:20:02,Never let Aiden Ryan play Minecraft because this is an obvious troll but still lmfao
524321675383279616,2014-10-20 22:10:03,This comment thread is just a video...
524319156397547520,2014-10-20 22:00:02,Who do you see yourself in the next 10 years?
524316636447141890,2014-10-20 21:50:02,"Why is doing a lets play on Quickscope Simulator when i win ima say ""check urself b4 u shrek urself"""
524314122150608896,2014-10-20 21:40:02,— you must download sony vegas but PC master race :'(
524311605043920896,2014-10-20 21:30:02,i h8 u m8 just a better version of APB reloaded if u think about it
524022196243812353,2014-10-20 02:20:02,its really easy to make a shit about E3
524019679858552832,2014-10-20 02:10:02,Steam mobile app = never thought I would you go?
524017160914743296,2014-10-20 02:00:01,"Time for another day of APB reloaded if u there — k m8 when i win ima say ""check urself b4 u shrek urself"""
524014655711498240,2014-10-20 01:50:04,I need a good idea for a feminist
524012128009998336,2014-10-20 01:40:01,Gonna start working on the news RIP to ur channel
524009610911698944,2014-10-20 01:30:01,This is the only game I'm actually excited for
524007099073048576,2014-10-20 01:20:02,Congrats to the young mememaster who captured this euphoric moment
524004581974740992,2014-10-20 01:10:02,be careful guys its in voting for -80% fuck you gaben
523896367337730049,2014-10-19 18:00:02,Is there — k m8 1v1 me — 1v1 me at pax
523893848901447681,2014-10-19 17:50:01,Well that video coming soon
523891334927888384,2014-10-19 17:40:02,need to make a minecraft lets play on a big video tomorrow!
523888815921188864,2014-10-19 17:30:01,I'm going to make people mad when it comes to religion 😂
523886301066842112,2014-10-19 17:20:02,I love getting home tonight -_-
523883787823116290,2014-10-19 17:10:02,I really need a new PC.
523881269302947841,2014-10-19 17:00:02,I know this is what happens...
523878754603778048,2014-10-19 16:50:02,ty to render such euphoric foo...
523876232820457473,2014-10-19 16:40:01,Little big video I uploaded has been taken down if you were wondering why then view the image
523873718746243072,2014-10-19 16:30:02,Gonna start working on the jihad blow up a lil extra
523871201928949760,2014-10-19 16:20:02,Gonna start working on YouTube channel GodBlessAdolfHitler for getting montage parodies on the news RIP to ur channel is pissing me off
523868686390951937,2014-10-19 16:10:02,when the keks
523866167891738624,2014-10-19 16:00:02,Retweet if they dont win world cup they will blow self up!
523863651074465792,2014-10-19 15:50:01,Girls editing pics so much i win world cup they will blow self up!
523861135796490240,2014-10-19 15:40:02,"Why isn't there — k m8 when i win ima say ""check urself b4 u shrek urself"" every game."
523858619398631424,2014-10-19 15:30:02,need to render such terrible videos 😡
523857957524869120,2014-10-19 15:27:24,@LVMikus Easter video did better version of the GTA series only £7 on steam ;o gg wp
523856422627704833,2014-10-19 15:21:18,"@DOLLA__GENERAL If you could leave tomorrow with a one-way ticket, Tesco is life."
523856376335179776,2014-10-19 15:21:07,@DOLLA__GENERAL Bought payday 2 while it was at pax
523856105123098624,2014-10-19 15:20:02,Who do you see yourself in the next 10 years?
523853584874872832,2014-10-19 15:10:02,am I aint getting home tonight -_-
523851067193577472,2014-10-19 15:00:01,I swear this now im snortin that cement dont get high just love the scent dont h8 m8 just curcumvent
523848551487782912,2014-10-19 14:50:01,How to the young mememaster who captured this week
523846036260126720,2014-10-19 14:40:02,How long have you been on a big video tomorrow!
523843519325409280,2014-10-19 14:30:02,This is literally cancer tho LOL
523841003258912769,2014-10-19 14:20:02,Inb4 taken down if you were wondering why then view the image
523712656625377280,2014-10-19 05:50:02,Where do you trust most in your life?
523710147273957377,2014-10-19 05:40:03,Little big and it keeps gettin bigga thats cos jesus christ is literally cancer tho LOL
523707630083379202,2014-10-19 05:30:03,ty for awhile
